away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,18717,,269,false,0,0,1,1,86,0,2009-11-18,293210269,0,wednesday,2379,0,1,,01:00,60,
1,18717,,269,false,0,0.5,1,1,87,0,2009-11-22,293250269,0,sunday,2755,0,2,,01:30,41,
2,18717,,269,false,0,0.5,2,1,93,0,2009-11-25,293280269,0,wednesday,233,0,3,,01:00,68,
5,18717,,269,false,1,0.8333333333333334,1,0.8571428571428571,73,0,2009-12-05,293390269,0,saturday,152,0,6,,20:00,77,
6,18717,,269,false,2,0.6666666666666666,3,0.75,71,0,2009-12-09,293420269,0,wednesday,270,0,6,,01:00,51,
7,17142,,275,false,2,0.7777777777777778,2,0.75,72,20,2009-12-12,293460275,0,saturday,269,0,6,,22:00,63,
1,18717,,269,false,3,0.14285714285714285,6,0.7,78,0,2009-12-19,293530269,0,saturday,2454,0,7,,19:00,51,
1,18717,,269,false,2,0.08333333333333333,11,0.8181818181818182,102,0,2009-12-27,293610269,0,sunday,2506,0,9,,19:00,62,
9,14000,,277,false,0,0.75,3,1,63,6,2009-12-30,293640277,0,wednesday,269,0,10,,00:00,62,
11,18717,,269,false,4,0.9166666666666666,1,0.6923076923076923,72,8,2010-01-02,300020269,0,saturday,222,0,9,,20:30,74,
11,18717,,269,false,5,0.9166666666666666,1,0.6428571428571429,62,12,2010-01-07,300070269,0,thursday,46,0,9,,01:00,59,
10,6500,,222,false,1,0.6666666666666666,5,0.9285714285714286,78,6,2010-01-09,300100222,0,saturday,269,0,13,,19:00,76,
11,18717,,269,false,6,0.6470588235294118,6,0.625,93,0,2010-01-17,300180269,0,sunday,2507,0,10,,21:00,63,
11,17500,,305,false,10,0.6470588235294118,6,0.4117647058823529,51,0,2010-01-21,300210305,0,thursday,269,0,7,,02:00,50,
11,,,183,false,1,0.6111111111111112,7,0.9473684210526315,76,5,2010-01-23,300240183,0,saturday,269,0,18,,19:00,71,
9,18717,,269,false,8,0.47368421052631576,10,0.5789473684210527,82,0,2010-01-27,300270269,0,wednesday,164,0,11,,02:00,59,
12,,,41,false,7,0.6,8,0.65,68,19,2010-01-30,300310041,0,saturday,269,0,13,,17:00,70,
8,18717,,269,false,8,0.38095238095238093,13,0.6190476190476191,80,0,2010-02-04,300340269,0,thursday,305,0,13,,00:00,69,
14,12993,,2507,false,10,0.6363636363636364,8,0.5454545454545454,79,0,2010-02-06,300382507,0,saturday,269,0,12,,17:00,82,
15,18717,,269,false,8,0.6521739130434783,8,0.6521739130434783,63,0,2010-02-14,300450269,0,sunday,58,0,15,,01:30,52,
19,18717,,269,false,8,0.76,6,0.6666666666666666,51,19,2010-02-19,300490269,0,friday,221,0,16,,02:00,58,
16,13176,,2132,false,10,0.64,9,0.6,76,0,2010-02-21,300532132,0,sunday,269,0,15,,19:00,79,
17,5602,,2599,false,11,0.6538461538461539,9,0.5769230769230769,61,0,2010-02-25,300562599,0,thursday,269,0,15,,00:30,63,
18,18711,,2550,false,10,0.6666666666666666,9,0.6153846153846154,83,0,2010-02-28,300602550,0,sunday,269,0,16,,17:00,84,
19,18717,,269,false,9,0.6551724137931034,10,0.6785714285714286,69,0,2010-03-03,300620269,0,wednesday,97,0,19,,02:30,48,
20,18717,,269,false,9,0.6666666666666666,10,0.6896551724137931,60,0,2010-03-06,300660269,0,saturday,87,0,20,,19:00,63,
0,14046,18717,269,true,0,0,0,0,97,0,2010-11-13,303160269,0,saturday,2504,0,0,,02:00,58,
0,13783,18717,269,false,0,0,1,1,72,0,2010-11-14,303180269,0,sunday,2083,0,1,,19:00,61,
1,13968,18717,269,false,0,1,0,1,89,0,2010-11-18,303210269,0,thursday,2739,0,2,,02:00,69,
1,14117,18717,269,false,0,0.5,1,1,82,0,2010-11-20,303240269,0,saturday,233,0,3,,19:00,69,
4,7120,,270,false,3,0.6666666666666666,2,0.5,72,0,2010-11-28,303310270,0,sunday,269,0,3,,02:00,75,
3,13869,18717,269,false,2,0.375,5,0.7142857142857143,96,0,2010-12-04,303380269,0,saturday,2344,0,5,,19:00,65,
3,13505,18717,269,false,2,0.375,5,0.75,86,0,2010-12-08,303410269,0,wednesday,357,0,6,,02:00,50,
7,19074,18717,269,false,2,0.7777777777777778,2,0.7777777777777778,64,0,2010-12-11,303450269,0,saturday,275,0,7,,19:30,69,espn2
0,13930,18717,269,false,2,0,10,0.8181818181818182,102,0,2010-12-22,303550269,0,wednesday,2400,0,9,,01:00,77,
9,13604,14316,238,false,2,0.75,3,0.8181818181818182,77,24,2010-12-30,303630238,0,thursday,269,0,9,,02:00,76,espn2
8,15575,18717,269,false,4,0.7272727272727273,3,0.6923076923076923,79,0,2011-01-01,310010269,0,saturday,277,0,9,,16:00,74,espn2
10,5358,8000,164,false,4,0.7142857142857143,4,0.6923076923076923,65,0,2011-01-06,310050164,0,thursday,269,0,9,,00:30,73,
11,11438,12508,221,false,1,0.7333333333333333,4,0.9333333333333333,89,5,2011-01-08,310080221,0,saturday,269,0,14,,19:00,81,
14,16951,18717,269,false,5,0.875,2,0.6875,79,9,2011-01-11,310100269,0,tuesday,87,0,11,,00:00,57,espn2
12,21485,22090,97,false,3,0.7058823529411765,5,0.8125,71,18,2011-01-15,310150097,0,saturday,269,0,13,,16:00,70,espn2
6,15091,18717,269,false,6,0.35294117647058826,11,0.6666666666666666,94,0,2011-01-19,310180269,0,wednesday,305,0,12,,02:00,64,espnu
13,9149,9149,87,false,4,0.6842105263157895,6,0.7894736842105263,80,16,2011-01-23,310220087,0,sunday,269,0,15,,00:00,75,
16,15476,18717,269,false,7,0.8888888888888888,2,0.65,68,5,2011-01-26,310250269,0,wednesday,41,0,13,,02:00,76,
18,19032,18717,269,false,8,0.8571428571428571,3,0.6190476190476191,76,9,2011-01-29,310290269,0,saturday,183,0,13,,20:00,70,espnu
14,6500,6500,222,false,4,0.6363636363636364,8,0.8095238095238095,75,12,2011-02-03,310330222,0,thursday,269,0,17,,00:00,70,espnu
14,4153,10000,58,false,16,0.6086956521739131,9,0.3333333333333333,58,0,2011-02-10,310400058,0,thursday,269,0,8,,00:00,59,espn2
15,14284,20278,46,false,5,0.625,9,0.7916666666666666,69,11,2011-02-13,310440046,0,sunday,269,0,19,,18:00,60,espn
15,17270,18717,269,false,10,0.625,9,0.6,68,0,2011-02-16,310460269,0,wednesday,2599,0,15,,02:00,80,espnu
11,18436,18717,269,false,11,0.4230769230769231,15,0.5769230769230769,73,0,2011-02-20,310500269,0,sunday,2550,0,15,,02:00,64,
16,14622,,41,false,6,0.5925925925925926,11,0.7692307692307693,67,14,2011-02-25,310550041,0,friday,269,0,20,,00:00,74,espn/espn2
14,16768,18717,269,false,11,0.5,14,0.6071428571428571,86,0,2011-02-27,310580269,0,sunday,2507,0,17,,21:00,62,
22,15538,18717,269,false,11,0.7586206896551724,7,0.6206896551724138,60,0,2011-03-03,310610269,0,thursday,2132,0,18,,01:00,67,espn3
18,8347,18711,2550,false,17,0.6,12,0.41379310344827586,85,0,2011-03-05,310642550,0,saturday,269,0,12,,23:00,72,
0,13834,18717,269,true,0,0,0,0,91,22,2011-11-12,313150269,0,saturday,116,0,0,,02:00,37,espn3
0,12765,18717,269,false,0,0,0,1,99,21,2011-11-15,313180269,0,tuesday,2450,0,1,,00:00,68,
2,12848,18717,269,false,0,0.4,3,1,88,16,2011-11-29,313320269,0,tuesday,294,0,5,,01:00,56,
6,17230,17142,275,false,1,1,0,0.8571428571428571,54,16,2011-12-03,313370275,0,saturday,269,9,6,,21:30,61,btn
4,14208,18717,269,false,0,0.4444444444444444,5,1,79,11,2011-12-11,313440269,0,sunday,2739,0,8,,02:00,61,espn3
3,13593,18717,269,false,0,0.3333333333333333,6,1,93,11,2011-12-17,313510269,0,saturday,2458,0,9,,21:00,72,espn3
10,8630,13215,99,false,3,1,0,0.7,67,10,2011-12-20,313530099,0,tuesday,269,0,7,,02:00,59,espn3
9,14917,18717,269,false,1,0.75,3,0.9090909090909091,64,10,2011-12-23,313560269,0,friday,270,0,10,,02:00,50,espn3
8,15684,18717,269,false,1,0.6666666666666666,4,0.9166666666666666,57,14,2011-12-30,313630269,0,friday,238,0,11,,02:00,74,espn2
7,14550,18717,269,false,2,0.5384615384615384,6,0.8461538461538461,81,14,2012-01-01,320010269,0,sunday,222,0,11,,18:00,77,espnu
12,11213,20278,46,false,1,0.8571428571428571,2,0.9230769230769231,73,20,2012-01-05,320040046,0,thursday,269,9,12,,00:00,70,espnu
12,25412,,183,false,0,0.8,3,1,73,20,2012-01-07,320070183,0,saturday,269,1,16,,21:00,66,espn3
8,14484,18717,269,false,4,0.5333333333333333,7,0.75,83,25,2012-01-12,320110269,0,thursday,2599,0,12,,00:00,64,espnu
11,18404,18717,269,false,4,0.6470588235294118,6,0.7647058823529411,62,25,2012-01-14,320140269,0,saturday,221,0,13,,19:00,57,espnu
14,16688,18717,269,false,4,0.7777777777777778,4,0.7777777777777778,74,23,2012-01-16,320160269,0,monday,97,21,14,,20:30,63,espn
15,9469,12993,2507,false,7,0.7894736842105263,4,0.631578947368421,72,21,2012-01-22,320212507,0,sunday,269,0,12,,00:00,79,espn3
12,13693,18717,269,false,4,0.6,8,0.8,67,17,2012-01-25,320240269,0,wednesday,58,0,16,,01:00,47,espn3
17,15878,6500,222,false,11,0.8095238095238095,4,0.47619047619047616,78,17,2012-01-28,320280222,0,saturday,269,0,10,,17:00,82,espn2
15,13828,18717,269,false,4,0.7142857142857143,6,0.8181818181818182,66,15,2012-02-01,320310269,0,wednesday,2550,0,18,,01:00,59,espn3
19,9149,,87,false,8,0.8260869565217391,4,0.6363636363636364,76,15,2012-02-04,320350087,0,saturday,269,0,14,,18:00,59,cbs
19,9276,17500,305,false,11,0.7916666666666666,5,0.5,76,18,2012-02-07,320370305,0,tuesday,269,0,11,,02:00,89,espnu
17,18815,18717,269,false,5,0.7083333333333334,7,0.8,95,18,2012-02-11,320420269,0,saturday,2132,0,20,,20:00,78,espnu
21,16294,,41,false,9,0.8076923076923077,5,0.64,64,12,2012-02-18,320490041,0,saturday,269,0,16,,17:00,79,espn
12,14807,18717,269,false,5,0.4444444444444444,15,0.8148148148148148,82,10,2012-02-23,320530269,0,thursday,164,0,22,,01:00,65,espn3
