away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,7041,10284,239,1,0,0.0,0,0.0,97,22,2015-11-14,400831581,0,saturday,2617,0,0,,02:30,55,
1,12364,,2483,0,0,1.0,0,1.0,74,20,2015-11-17,400818879,2.0,tuesday,239,25,1,151,04:30,67,espn2
1,5973,10284,239,0,1,0.5,1,0.5,77,20,2015-11-21,400831582,0,saturday,2296,0,1,,01:00,60,
2,4714,10284,239,0,0,0.5,2,1.0,100,0,2015-11-24,400831583,0,tuesday,2542,0,3,,01:00,61,
2,4768,10284,239,0,1,0.4,3,0.75,94,0,2015-11-27,400831584,0,friday,2032,0,3,,18:00,72,
0,4572,10284,239,0,1,0.0,6,0.8,80,25,2015-12-03,400830182,0,thursday,2504,0,4,,02:30,41,
6,7084,10284,239,0,1,0.857,1,0.833,69,16,2015-12-07,400830678,-3.0,monday,238,25,5,139,01:00,67,espnu
1,4627,10284,239,0,1,0.143,6,0.857,75,16,2015-12-09,400831687,0,wednesday,2466,0,6,,01:00,62,
8,9056,12989,245,0,2,0.889,1,0.8,80,16,2015-12-20,400830798,-3.0,sunday,239,24,8,141,02:00,61,espnu
7,5842,10284,239,0,2,0.583,5,0.8,85,23,2015-12-24,400831585,-13.0,thursday,166,0,8,131,01:00,70,fsn
1,5223,10284,239,0,2,0.091,10,0.818,72,23,2015-12-29,400831586,-21.0,tuesday,2640,0,9,145,20:00,59,espnu
9,16300,16300,2305,0,0,0.75,3,1.0,102,23,2016-01-02,400831504,-12.0,saturday,239,2,12,146,21:00,74,cbs
9,5665,10284,239,0,3,0.692,4,0.769,79,0,2016-01-06,400831332,-9.0,wednesday,197,0,10,135,01:00,62,espn2
11,14384,14356,66,0,2,0.786,3,0.857,89,13,2016-01-09,400831510,-7.0,saturday,239,0,12,157,20:00,94,espn2
9,5764,10284,239,0,3,0.6,6,0.8,82,22,2016-01-14,400831516,-12.5,thursday,2628,0,12,143,01:15,54,espnn
13,12827,15098,2641,0,4,0.813,3,0.733,60,22,2016-01-16,400831519,1.5,saturday,239,0,11,146,20:00,63,
11,10284,,239,0,3,0.647,6,0.824,79,13,2016-01-21,400831522,-8.5,thursday,2306,0,14,140,01:15,72,espnn
15,10206,10284,239,0,3,0.882,2,0.833,72,1,2016-01-23,400831523,-1.0,saturday,201,13,15,150,17:00,82,espn
15,7148,13611,197,0,9,0.789,4,0.526,65,17,2016-01-28,400831337,4.0,thursday,239,0,10,141,02:00,69,espnu
11,9675,10284,239,0,4,0.611,7,0.8,83,17,2016-01-30,400809417,-11.5,saturday,61,0,16,138,23:00,73,espn2
14,6064,10284,239,0,4,0.667,7,0.81,59,15,2016-02-02,400831529,-4.5,tuesday,251,0,17,142,02:00,67,espn
17,14069,14000,277,0,4,0.773,5,0.818,80,15,2016-02-07,400830922,-6.0,sunday,239,14,18,149,01:00,69,espn2
17,11636,12528,2306,0,9,0.739,6,0.609,72,21,2016-02-11,400831538,-2.5,thursday,239,0,14,139,01:15,82,espnn
14,7540,10284,239,0,6,0.609,9,0.75,66,21,2016-02-14,400831540,-10.5,sunday,2641,0,18,143,01:00,84,espnu
17,5556,10284,239,0,6,0.68,8,0.76,100,13,2016-02-17,400831542,-2.0,wednesday,66,25,19,157,02:00,91,espn2
19,16540,16540,251,0,9,0.731,7,0.654,64,25,2016-02-20,400831545,-6.0,saturday,239,24,17,138,19:00,78,espn
23,8259,10284,239,0,7,0.852,4,0.741,60,2,2016-02-24,400831549,2.0,wednesday,2305,19,20,151,01:00,66,espn2
20,6364,6800,2628,0,17,0.714,8,0.393,71,19,2016-02-28,400831554,9.0,sunday,239,0,11,143,01:00,86,espnu
21,11563,11562,201,0,6,0.724,8,0.786,73,19,2016-03-02,400831556,-7.5,wednesday,239,6,22,149,01:00,71,espn2
23,7629,10284,239,0,9,0.767,7,0.7,58,10,2016-03-05,400831330,-3.0,saturday,277,19,21,149,19:00,69,espn
