away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
1,5706,10284,239,0,0,1.0,0,1.0,66,23,2013-11-12,400506825,0,tuesday,2579,0,1,,20:00,64,espn
2,5290,10284,239,0,0,0.667,1,1.0,87,23,2013-11-17,400506826,0,sunday,309,0,2,,22:00,68,
2,5185,10284,239,0,0,0.5,2,1.0,69,20,2013-11-21,400506827,0,thursday,2127,0,3,,00:00,64,
4,5667,10284,239,0,1,0.444,5,0.889,91,12,2013-12-19,400506831,0,thursday,2466,0,8,,02:30,84,
3,5562,10284,239,0,1,0.273,8,0.9,81,12,2013-12-22,400506832,0,sunday,2582,0,9,,22:00,56,
6,8037,10284,239,0,1,0.5,6,0.909,81,9,2013-12-31,400506833,0,tuesday,198,0,10,,01:00,55,
2,5685,10284,239,0,1,0.154,11,0.917,80,9,2014-01-04,400507014,0,saturday,2542,0,11,,01:00,50,
12,14383,14356,66,0,0,0.923,1,1.0,87,7,2014-01-08,400507015,0,wednesday,239,9,13,,00:00,72,espn2
9,7573,10284,239,0,2,0.643,5,0.857,88,7,2014-01-11,400507016,0,saturday,2628,0,12,,18:45,62,espn3
13,9516,15098,2641,0,8,0.867,2,0.5,82,12,2014-01-16,400507017,0,thursday,239,0,8,,02:00,72,espnu
13,8544,10284,239,0,3,0.765,4,0.813,64,25,2014-01-18,400507018,0,saturday,201,12,13,,19:00,66,espn
13,16300,,2305,0,4,0.765,4,0.765,78,24,2014-01-21,400507019,0,tuesday,239,8,13,,02:00,68,espn
15,8052,10284,239,0,5,0.789,4,0.722,60,24,2014-01-25,400507020,0,saturday,251,0,13,,18:30,74,espn3
11,5529,10284,239,0,6,0.55,9,0.684,64,0,2014-01-29,400507021,0,wednesday,277,0,13,,00:00,66,espn2
13,11500,13611,197,0,4,0.65,7,0.8,70,8,2014-02-01,400507022,0,saturday,239,0,16,,19:00,76,espn
16,8305,10284,239,0,7,0.762,5,0.667,52,8,2014-02-05,400507023,0,wednesday,2305,0,14,,00:00,69,espn2
14,13112,11562,201,0,6,0.636,8,0.739,88,21,2014-02-09,400507024,0,sunday,239,0,17,,00:00,72,espn2
14,4705,6800,2628,0,13,0.609,9,0.409,58,0,2014-02-13,400507025,0,thursday,239,0,9,,00:00,91,espnu
17,7556,10284,239,0,9,0.708,7,0.625,87,0,2014-02-16,400507026,0,sunday,2306,0,15,,00:00,73,espnu
16,6517,10284,239,0,9,0.64,9,0.64,70,0,2014-02-18,400507027,0,tuesday,197,0,16,,02:00,64,espn
17,11843,14000,277,0,11,0.654,9,0.577,75,0,2014-02-22,400507028,0,saturday,239,0,15,,18:45,88,espn3
18,12471,16540,251,0,7,0.667,9,0.741,74,24,2014-02-27,400507029,0,thursday,239,0,20,,02:00,69,espnu
13,8827,10284,239,0,10,0.464,15,0.643,59,0,2014-03-01,400507030,0,saturday,2641,0,18,,18:40,49,espn3
22,10284,,239,0,10,0.786,6,0.655,74,16,2014-03-05,400507031,0,wednesday,66,0,19,,00:00,61,espn2
20,12528,12528,2306,0,10,0.667,10,0.667,74,0,2014-03-08,400507032,0,saturday,239,0,20,,18:30,76,espn3
0,6158,10284,239,1,0,0.0,0,0.0,80,0,2014-11-15,400585671,0,saturday,2377,0,0,,02:30,39,
1,18000,,2579,0,0,1.0,0,1.0,65,0,2014-11-18,400585683,0,tuesday,239,0,1,,17:00,69,espn
0,5208,10284,239,0,0,0.0,3,1.0,60,0,2014-11-22,400585693,0,saturday,2504,0,2,,00:00,45,
1,5503,10284,239,0,0,0.333,2,1.0,67,0,2014-11-25,400585700,0,tuesday,2617,0,3,,01:00,51,
1,4286,10284,239,0,1,0.167,5,0.833,75,0,2014-12-02,400585713,0,tuesday,2640,0,5,,02:00,49,espnu
6,7740,14316,238,0,1,0.857,1,0.833,63,0,2014-12-05,400585719,0,friday,239,0,5,,00:00,66,espnu
6,7265,10284,239,0,1,0.857,1,0.875,77,0,2014-12-10,400585731,0,wednesday,245,0,7,,02:00,63,espn2
4,4787,10284,239,0,1,0.4,6,0.889,66,0,2014-12-18,400585749,0,thursday,166,0,8,,02:00,55,espnu
3,5379,10284,239,0,1,0.25,9,0.9,70,22,2014-12-23,400591016,0,tuesday,2582,0,9,,01:00,66,
9,5138,10284,239,0,1,0.643,5,0.909,92,22,2014-12-31,400585773,0,wednesday,2450,0,10,,01:00,51,
11,12322,11562,201,0,3,0.917,1,0.75,73,22,2015-01-03,400585779,0,saturday,239,18,9,,21:00,63,espnu
11,7088,10284,239,0,2,0.846,2,0.846,55,12,2015-01-08,400585786,0,thursday,2305,21,11,,02:00,56,espnu
11,5388,4750,2628,0,2,0.786,3,0.867,59,21,2015-01-10,400585789,0,saturday,239,0,13,,21:00,66,espn2
12,6576,10284,239,0,3,0.857,2,0.8,74,11,2015-01-15,400585796,0,thursday,66,22,12,,02:00,73,espnu
13,12528,12528,2306,0,7,0.813,3,0.588,63,22,2015-01-17,400585797,0,saturday,239,0,10,,20:00,61,espnu
12,8753,10284,239,0,4,0.667,6,0.778,69,19,2015-01-24,400585811,0,saturday,201,21,14,,23:00,58,espn2
15,7364,13611,197,0,6,0.789,4,0.684,64,20,2015-01-28,400585814,0,wednesday,239,0,13,,02:00,53,espnn
14,9680,10284,239,0,5,0.7,6,0.75,83,19,2015-01-31,400585820,0,saturday,251,20,15,,23:00,60,espn2
14,5405,10284,239,0,5,0.667,7,0.762,77,19,2015-02-05,400585825,0,thursday,2628,0,16,,01:30,57,espnn
17,12783,14000,277,0,4,0.773,5,0.818,69,19,2015-02-07,400585827,0,saturday,239,15,18,,17:00,87,espnu
16,6720,10284,239,0,5,0.696,7,0.783,65,21,2015-02-10,400585832,0,tuesday,197,16,18,,00:00,74,espnu
18,16300,16300,2305,0,4,0.75,6,0.833,74,16,2015-02-14,400585837,0,saturday,239,8,20,,18:00,64,cbs
18,15098,,2641,0,14,0.72,7,0.462,49,20,2015-02-18,400585843,0,wednesday,239,0,12,,00:00,54,espn2
13,8046,10284,239,0,7,0.481,14,0.731,69,20,2015-02-21,400585848,0,saturday,2306,0,19,,18:00,42,espnu
20,14384,14356,66,0,6,0.741,7,0.769,70,19,2015-02-26,400585854,0,thursday,239,12,20,,02:00,79,espnu
22,9385,10284,239,0,7,0.786,6,0.75,78,20,2015-02-28,400585858,0,saturday,277,19,21,,21:00,66,espnu
22,12139,16540,251,0,12,0.759,7,0.586,61,14,2015-03-03,400585861,0,tuesday,239,0,17,,00:00,59,espnu
13,9554,10284,239,0,8,0.433,17,0.733,77,14,2015-03-07,400585865,0,saturday,2641,0,22,,02:00,74,espn2
0,7041,10284,239,1,0,0.0,0,0.0,97,22,2015-11-14,400831581,0,saturday,2617,0,0,,02:30,55,
1,12364,,2483,0,0,1.0,0,1.0,74,20,2015-11-17,400818879,2.0,tuesday,239,25,1,151,04:30,67,espn2
1,5973,10284,239,0,1,0.5,1,0.5,77,20,2015-11-21,400831582,0,saturday,2296,0,1,,01:00,60,
2,4714,10284,239,0,0,0.5,2,1.0,100,0,2015-11-24,400831583,0,tuesday,2542,0,3,,01:00,61,
2,4768,10284,239,0,1,0.4,3,0.75,94,0,2015-11-27,400831584,0,friday,2032,0,3,,18:00,72,
0,4572,10284,239,0,1,0.0,6,0.8,80,25,2015-12-03,400830182,0,thursday,2504,0,4,,02:30,41,
6,7084,10284,239,0,1,0.857,1,0.833,69,16,2015-12-07,400830678,-3.0,monday,238,25,5,139,01:00,67,espnu
1,4627,10284,239,0,1,0.143,6,0.857,75,16,2015-12-09,400831687,0,wednesday,2466,0,6,,01:00,62,
8,9056,12989,245,0,2,0.889,1,0.8,80,16,2015-12-20,400830798,-3.0,sunday,239,24,8,141,02:00,61,espnu
7,5842,10284,239,0,2,0.583,5,0.8,85,23,2015-12-24,400831585,-13.0,thursday,166,0,8,131,01:00,70,fsn
1,5223,10284,239,0,2,0.091,10,0.818,72,23,2015-12-29,400831586,-21.0,tuesday,2640,0,9,145,20:00,59,espnu
9,16300,16300,2305,0,0,0.75,3,1.0,102,23,2016-01-02,400831504,-12.0,saturday,239,2,12,146,21:00,74,cbs
9,5665,10284,239,0,3,0.692,4,0.769,79,0,2016-01-06,400831332,-9.0,wednesday,197,0,10,135,01:00,62,espn2
11,14384,14356,66,0,2,0.786,3,0.857,89,13,2016-01-09,400831510,-7.0,saturday,239,0,12,157,20:00,94,espn2
9,5764,10284,239,0,3,0.6,6,0.8,82,22,2016-01-14,400831516,-12.5,thursday,2628,0,12,143,01:15,54,espnn
13,12827,15098,2641,0,4,0.813,3,0.733,60,22,2016-01-16,400831519,1.5,saturday,239,0,11,146,20:00,63,
11,10284,,239,0,3,0.647,6,0.824,79,13,2016-01-21,400831522,-8.5,thursday,2306,0,14,140,01:15,72,espnn
15,10206,10284,239,0,3,0.882,2,0.833,72,1,2016-01-23,400831523,-1.0,saturday,201,13,15,150,17:00,82,espn
15,7148,13611,197,0,9,0.789,4,0.526,65,17,2016-01-28,400831337,4.0,thursday,239,0,10,141,02:00,69,espnu
11,9675,10284,239,0,4,0.611,7,0.8,83,17,2016-01-30,400809417,-11.5,saturday,61,0,16,138,23:00,73,espn2
14,6064,10284,239,0,4,0.667,7,0.81,59,15,2016-02-02,400831529,-4.5,tuesday,251,0,17,142,02:00,67,espn
17,14069,14000,277,0,4,0.773,5,0.818,80,15,2016-02-07,400830922,-6.0,sunday,239,14,18,149,01:00,69,espn2
17,11636,12528,2306,0,9,0.739,6,0.609,72,21,2016-02-11,400831538,-2.5,thursday,239,0,14,139,01:15,82,espnn
14,7540,10284,239,0,6,0.609,9,0.75,66,21,2016-02-14,400831540,-10.5,sunday,2641,0,18,143,01:00,84,espnu
17,5556,10284,239,0,6,0.68,8,0.76,100,13,2016-02-17,400831542,-2.0,wednesday,66,25,19,157,02:00,91,espn2
19,16540,16540,251,0,9,0.731,7,0.654,64,25,2016-02-20,400831545,-6.0,saturday,239,24,17,138,19:00,78,espn
23,8259,10284,239,0,7,0.852,4,0.741,60,2,2016-02-24,400831549,2.0,wednesday,2305,19,20,151,01:00,66,espn2
20,6364,6800,2628,0,17,0.714,8,0.393,71,19,2016-02-28,400831554,9.0,sunday,239,0,11,143,01:00,86,espnu
21,11563,11562,201,0,6,0.724,8,0.786,73,19,2016-03-02,400831556,-7.5,wednesday,239,6,22,149,01:00,71,espn2
23,7629,10284,239,0,9,0.767,7,0.7,58,10,2016-03-05,400831330,-3.0,saturday,277,19,21,149,19:00,69,espn
away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,14384,14356,66,1,0,0.0,1,0.0,95,0,2013-11-10,400498241,0,sunday,350,0,0,,18:00,62,
1,13238,14356,66,0,0,1.0,0,1.0,80,0,2013-11-13,400498248,0,wednesday,357,0,1,,01:00,50,
2,14384,14356,66,0,0,1.0,0,1.0,77,7,2013-11-17,400498256,0,sunday,130,0,2,,22:00,70,espn2
3,15808,20900,252,0,0,1.0,0,1.0,88,21,2013-11-21,400498262,0,thursday,66,0,4,,02:30,90,espnu
0,12960,14356,66,0,-1,0.0,4,1.25,110,17,2013-11-26,400498273,0,tuesday,140,0,5,,01:00,51,
4,13889,14356,66,0,0,0.8,1,1.0,99,17,2013-12-03,400498283,0,tuesday,2,0,5,,00:00,70,espnu
10,14384,14356,66,0,0,0.909,1,1.0,85,23,2013-12-14,400498300,0,saturday,2294,17,7,,02:30,82,espnu
5,14384,14356,66,0,0,0.5,5,1.0,99,13,2014-01-01,400498335,0,wednesday,2459,0,11,,00:00,63,
12,5861,15098,2641,0,5,1.0,0,0.615,62,13,2014-01-04,400498338,0,saturday,66,0,8,,18:47,73,espn3
12,14383,14356,66,0,0,0.923,1,1.0,87,7,2014-01-08,400507015,0,wednesday,239,9,13,,00:00,72,espn2
14,11105,11562,201,0,3,1.0,0,0.8,87,9,2014-01-11,400498346,0,saturday,66,0,12,,17:00,82,espnu
11,14384,14356,66,0,1,0.733,4,0.933,70,15,2014-01-14,400498352,0,tuesday,2305,8,14,,02:00,77,espn
14,12709,16540,251,0,4,0.875,2,0.765,86,8,2014-01-18,400498359,0,saturday,66,0,13,,21:00,76,espn3
14,14384,14356,66,0,3,0.737,5,0.824,81,22,2014-01-25,400498365,0,saturday,2306,16,14,,18:45,75,espn3
15,16300,16300,2305,0,4,0.833,3,0.789,92,16,2014-01-30,400498373,0,thursday,66,6,15,,02:00,81,espnu
17,14384,14356,66,0,4,0.81,4,0.789,81,23,2014-02-01,400498377,0,saturday,201,16,15,,21:00,75,espn3
16,10132,13611,197,0,5,0.8,4,0.762,97,16,2014-02-04,400498379,0,tuesday,66,19,16,,02:00,98,espn
9,14384,14356,66,0,4,0.429,12,0.81,84,16,2014-02-08,400498385,0,saturday,2628,0,17,,21:00,69,espn3
17,8177,14000,277,0,9,0.773,5,0.625,102,11,2014-02-11,400498388,0,tuesday,66,0,15,,00:00,77,espnu
13,14384,14356,66,0,5,0.542,11,0.783,70,11,2014-02-15,400498393,0,saturday,2641,0,18,,18:45,64,espn3
20,14384,14356,66,0,5,0.8,5,0.792,85,19,2014-02-19,400498399,0,wednesday,251,17,19,,00:00,76,espn2
20,5778,6800,2628,0,16,0.8,5,0.36,60,17,2014-02-22,400498404,0,saturday,66,0,9,,21:00,71,espn2
15,14384,14356,66,0,5,0.556,12,0.808,83,15,2014-02-27,400498410,0,thursday,277,0,21,,01:00,66,espn3
22,12528,12528,2306,0,9,0.815,5,0.679,80,15,2014-03-02,400498414,0,sunday,66,0,19,,00:00,73,espnu
22,10284,,239,0,10,0.786,6,0.655,74,16,2014-03-05,400507031,0,wednesday,66,0,19,,00:00,61,espn2
20,14384,14356,66,0,7,0.667,10,0.759,85,16,2014-03-08,400498424,0,saturday,197,0,22,,19:00,81,espn
0,14384,14356,66,1,0,0.0,0,0.0,93,14,2014-11-15,400585667,0,saturday,2473,0,0,,01:00,82,
1,13913,14356,66,0,0,1.0,0,1.0,81,14,2014-11-18,400585681,0,tuesday,2247,0,1,,02:00,58,espnu
2,13907,14356,66,0,1,0.333,4,0.75,96,20,2014-12-03,400585714,0,wednesday,2320,0,3,,01:00,59,
6,14384,14356,66,0,1,1.0,0,0.8,95,18,2014-12-05,400585721,0,friday,8,20,4,,02:00,77,espn2
3,13902,14356,66,0,1,0.333,6,0.833,73,14,2014-12-10,400585729,0,wednesday,140,0,5,,00:00,56,espnu
6,15400,15000,2294,0,2,0.857,1,0.8,75,14,2014-12-13,400585735,0,saturday,66,0,8,,01:06,90,btn
2,14384,14356,66,0,1,0.222,7,0.875,88,14,2014-12-14,400585742,0,sunday,2582,0,7,,23:00,78,
1,14384,14356,66,0,1,0.083,11,0.9,83,9,2015-01-01,400585776,0,thursday,2400,0,9,,00:00,33,
11,14384,14356,66,0,2,0.846,2,0.833,63,17,2015-01-07,400585785,0,wednesday,197,0,10,,02:00,61,espn2
11,12076,14000,277,0,1,0.846,2,0.933,72,17,2015-01-11,400585792,0,sunday,66,14,14,,01:00,74,espn2
12,6576,10284,239,0,3,0.857,2,0.8,74,11,2015-01-15,400585796,0,thursday,66,22,12,,02:00,73,espnu
14,14384,14356,66,0,3,0.875,2,0.8,86,9,2015-01-18,400585799,0,sunday,2305,11,12,,02:00,81,espn
11,14384,14356,66,0,3,0.611,7,0.813,77,9,2015-01-21,400585804,0,wednesday,2306,0,13,,00:00,71,espn2
14,9310,15098,2641,0,9,0.824,3,0.526,78,9,2015-01-24,400585810,0,saturday,66,0,10,,21:00,73,espnu
