away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,16143,15500,156,0,0,0.0,1,1.0,84,0,2014-11-16,400588327,-24.5,sunday,2130,0,1,,22:30,66,fs1
1,17393,15500,156,0,0,1.0,0,1.0,65,18,2014-11-20,400585687,3.5,thursday,201,0,2,,01:00,63,fs1
1,17290,15500,156,0,0,0.5,1,1.0,65,0,2014-11-23,400588339,-8.0,sunday,2428,0,3,,21:00,45,fs1
1,17408,15500,156,0,0,0.25,3,1.0,75,23,2014-11-26,400588343,-19.0,wednesday,2197,0,4,,01:00,53,fs1
6,4383,8355,202,0,3,0.857,1,0.5,77,0,2014-12-04,400586708,-2.5,thursday,156,0,3,,01:00,64,espn3
6,15782,15000,158,0,1,0.75,2,0.833,55,0,2014-12-08,400588361,-5.5,monday,156,0,5,,00:00,65,btn
3,16270,15500,156,0,2,0.333,6,0.778,91,0,2014-12-10,400586914,-16.0,wednesday,233,0,7,,02:15,88,
5,16435,15500,156,0,2,0.833,1,0.8,67,0,2014-12-13,400587258,-6.0,saturday,2608,0,8,,19:15,71,
5,17196,15500,156,0,3,0.5,5,0.727,75,0,2014-12-20,400588377,0,saturday,292,0,8,,02:00,60,
9,4227,10500,249,0,4,0.75,3,0.556,62,0,2014-12-21,400588383,9.0,sunday,156,0,5,,19:00,58,
9,12993,,2507,0,3,0.692,4,0.769,65,0,2015-01-01,400588397,-6.5,thursday,156,0,10,,00:30,53,fs1
9,11164,20278,46,0,4,0.643,5,0.667,76,25,2015-01-03,400588402,-9.0,saturday,156,0,8,,21:30,61,fs1
8,16126,15500,156,0,6,0.533,7,0.6,60,0,2015-01-08,400588407,-10.5,thursday,305,0,9,,02:00,70,fs1
12,17397,15500,156,0,7,0.8,3,0.563,67,19,2015-01-10,400588410,1.0,saturday,2550,0,9,,19:15,68,fs1
9,13069,18717,269,0,6,0.529,8,0.6,53,0,2015-01-15,400588416,-5.5,thursday,156,0,9,,02:00,52,cbssn
13,17640,15500,156,0,9,0.722,5,0.5,65,0,2015-01-18,400588420,0,sunday,2507,0,9,,00:30,74,fs1
9,6114,9100,2086,0,6,0.474,10,0.684,64,0,2015-01-22,400588425,-9.5,thursday,156,0,13,,02:00,61,fs1
9,6500,6500,222,0,2,0.45,11,0.895,71,4,2015-01-26,400588431,-15.5,monday,156,0,17,,00:00,50,fs1
13,16544,15500,156,0,12,0.684,6,0.429,77,0,2015-01-29,400588435,0,thursday,2599,0,9,,02:01,74,fs1
14,17499,15500,156,0,12,0.7,6,0.455,40,21,2015-01-31,400588440,2.0,saturday,46,0,10,,19:00,67,cbssn
10,9843,10250,2752,0,8,0.435,13,0.636,72,0,2015-02-05,400588444,-14.5,thursday,156,0,14,,02:00,79,fs1
11,10759,19812,2599,0,8,0.458,13,0.636,84,0,2015-02-07,400588446,-8.5,saturday,156,0,14,,17:00,66,
11,17248,15500,156,0,14,0.458,13,0.44,77,0,2015-02-14,400588455,-4.0,saturday,269,0,11,,18:00,70,fs1
18,17971,15500,156,0,14,0.72,7,0.462,56,19,2015-02-17,400588460,3.0,tuesday,2086,0,12,,02:15,58,fs1
12,6157,17500,305,0,16,0.444,15,0.429,62,0,2015-02-25,400588469,-1.5,wednesday,156,0,12,,02:00,75,fs1
13,8507,18711,2550,0,12,0.464,15,0.556,67,0,2015-02-28,400588474,-3.0,saturday,156,0,15,,21:00,66,cbssn
27,16337,15500,156,0,16,0.931,2,0.448,72,4,2015-03-04,400588477,8.5,wednesday,222,0,13,,02:15,76,fs1
