away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,4001,3000,305,1,0,0.0,0,0.0,69,0,2015-11-15,400827753,-7.0,sunday,2711,0,0,,02:00,63,
1,5023,15261,213,0,0,1.0,0,1.0,68,0,2015-11-17,400809393,-4.5,tuesday,305,0,1,136,22:00,62,espnu
2,4417,8000,82,0,3,0.4,3,0.25,55,0,2015-12-03,400827754,9.5,thursday,305,0,1,152,01:00,82,
3,5215,17500,305,0,3,0.375,5,0.5,96,0,2015-12-05,400827755,0,saturday,2130,0,3,,19:00,72,
4,3262,7152,2181,0,4,0.571,3,0.5,71,0,2015-12-10,400840235,2.0,thursday,305,0,4,141,01:00,74,espn3
7,1740,3000,305,0,3,1.0,0,0.625,44,0,2015-12-13,400827756,-4.0,sunday,2031,0,5,132,03:00,66,
5,4912,7391,24,0,3,0.556,4,0.571,79,0,2015-12-16,400827757,-8.5,wednesday,305,0,4,137,03:00,60,fs1
9,17500,,305,0,5,0.9,1,0.5,70,0,2015-12-19,400817520,4.5,saturday,77,0,5,136,19:00,78,fs1
10,5289,17500,305,0,6,0.909,1,0.455,82,20,2015-12-23,400820684,6.0,wednesday,45,0,5,143,02:00,61,fs1
7,5873,17500,305,0,6,0.583,5,0.5,58,0,2015-12-31,400840236,4.0,thursday,46,0,6,141,02:00,70,fs1
6,8201,18711,2550,0,2,0.462,7,0.846,78,0,2016-01-02,400840237,-10.0,saturday,305,0,11,139,16:00,74,fs1
11,5427,17500,305,0,8,0.786,3,0.429,72,18,2016-01-06,400840203,10.0,wednesday,2086,0,6,153,01:00,77,fsn
6,8435,20278,46,0,6,0.4,9,0.6,74,0,2016-01-09,400840238,-10.0,saturday,305,0,9,140,17:00,63,fs1
6,10400,10250,2752,0,1,0.375,10,0.933,84,7,2016-01-12,400840239,-17.5,tuesday,305,0,14,149,23:30,64,fs1
12,5534,17500,305,0,11,0.667,6,0.353,80,0,2016-01-17,400840224,5.0,sunday,156,0,6,151,18:00,91,fs1
6,12695,18717,269,0,6,0.333,12,0.667,56,0,2016-01-21,400840240,-8.5,thursday,305,0,12,149,01:00,57,fs1
7,7611,9100,2086,0,6,0.368,12,0.684,67,0,2016-01-28,400840208,-14.0,thursday,305,0,13,145,00:00,53,cbssn
18,6958,17500,305,0,13,0.9,2,0.35,65,7,2016-01-30,400840241,10.0,saturday,2752,0,7,148,19:00,86,cbssn
18,5114,17500,305,0,14,0.818,4,0.333,77,11,2016-02-03,400840242,8.0,wednesday,2507,0,7,140,02:00,70,fs1
8,17139,15500,156,0,9,0.364,14,0.609,88,0,2016-02-06,400840228,-12.0,saturday,305,0,14,148,19:00,66,fsn
20,6393,17500,305,0,15,0.87,3,0.348,59,1,2016-02-10,400840243,14.0,wednesday,222,0,8,138,01:30,86,fs1
8,5010,5602,2599,0,19,0.333,16,0.269,80,0,2016-02-18,400840244,2.0,thursday,305,0,7,144,01:00,65,cbssn
16,8524,17500,305,0,17,0.615,10,0.32,60,0,2016-02-20,400840245,4.5,saturday,269,0,8,142,19:00,73,fsn
8,4817,17500,305,0,18,0.286,20,0.308,83,0,2016-02-26,400840246,-5.0,friday,2599,0,8,142,02:00,75,fs1
9,12435,12993,2507,0,9,0.333,18,0.679,87,0,2016-02-27,400840247,-11.5,saturday,305,0,19,143,21:00,66,cbssn
9,6500,6500,222,0,4,0.321,19,0.862,83,3,2016-03-02,400840248,-22.0,wednesday,305,0,25,140,00:00,62,fs1
21,5954,17500,305,0,20,0.724,8,0.31,66,0,2016-03-05,400840249,7.5,saturday,2550,0,9,143,17:00,80,fsn
