away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,3254,17500,305,1,0,0.0,0,0.0,96,0,2013-11-09,400504458,0,saturday,2755,0,0,,21:00,58,
1,5840,17500,305,0,0,1.0,0,1.0,68,0,2013-11-14,400499236,-1.5,thursday,2572,0,1,,02:00,75,
1,6162,17500,305,0,1,0.5,1,0.5,81,0,2013-11-16,400504467,-1.5,saturday,2750,0,1,,19:00,72,
2,3186,5000,270,0,1,0.667,1,0.8,71,0,2013-11-20,400504470,2.0,wednesday,305,0,4,,01:00,80,
3,6765,17500,305,0,3,0.75,1,0.5,93,0,2013-12-01,400504481,-1.5,sunday,204,0,3,,21:00,81,fs1
7,6888,17500,305,0,3,0.778,2,0.571,56,0,2013-12-07,400504485,1.5,saturday,9,0,4,,00:00,78,fs1
3,5564,17500,305,0,4,0.333,6,0.5,81,0,2013-12-13,400499327,-12.5,friday,2226,0,4,,02:12,70,fs1
4,6627,17500,305,0,4,0.444,5,0.556,77,0,2013-12-15,400499822,-15.0,sunday,2130,0,5,,21:30,70,fs1
3,5101,17500,305,0,4,0.3,7,0.6,78,0,2013-12-19,400503929,-18.5,thursday,2277,0,6,,02:00,58,fs2
7,5345,10200,2287,0,5,0.636,4,0.545,69,0,2013-12-22,400500040,-1.5,sunday,305,0,6,,21:35,64,espn3
7,6819,8117,77,0,5,0.583,5,0.583,56,0,2013-12-28,400504505,-3.0,saturday,305,0,7,,02:00,57,btn
8,7823,20278,46,0,3,0.615,5,0.727,61,0,2013-12-31,400504512,-13.0,tuesday,305,0,8,,22:00,54,fs1
8,15194,18717,269,0,6,0.571,6,0.571,66,0,2014-01-04,400504517,-13.0,saturday,305,0,8,,19:00,56,cbssn
12,7104,17500,305,0,7,0.857,2,0.533,62,0,2014-01-08,400504520,8.5,wednesday,156,0,8,,02:00,81,fs1
