away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
1,7350,20278,46,0,1,1.0,0,0.0,88,0,2013-11-14,400504461,-12.0,thursday,2750,0,0,,00:00,70,fs1
3,8165,20278,46,0,2,0.5,3,0.6,70,0,2013-11-30,400499078,0,saturday,288,0,3,,17:00,49,fsn
3,4676,20278,46,0,2,0.5,3,0.667,80,0,2013-12-06,400498516,-20.5,friday,2272,0,4,,02:00,45,fs1
4,7966,20278,46,0,2,0.667,2,0.714,61,0,2013-12-07,400499570,-16.5,saturday,2142,0,5,,17:00,55,fs1
5,7586,20278,46,0,2,0.5,5,0.75,85,0,2013-12-18,400504495,-15.0,wednesday,2210,0,6,,00:00,76,cbssn
7,16300,16300,2305,0,3,0.778,2,0.7,86,18,2013-12-21,400498315,-8.5,saturday,46,0,7,,17:00,64,espn
8,7824,20278,46,0,3,0.615,5,0.7,92,0,2013-12-28,400499361,-18.5,saturday,2229,0,7,,17:00,57,fs1
8,7823,20278,46,0,3,0.615,5,0.727,61,0,2013-12-31,400504512,-13.0,tuesday,305,0,8,,22:00,54,fs1
9,10164,20278,46,0,3,0.692,4,0.75,77,0,2014-01-04,400504515,-6.5,saturday,2599,0,9,,18:00,60,fs1
10,9187,12993,2507,0,5,0.769,3,0.667,70,0,2014-01-09,400504521,1.5,thursday,46,0,10,,00:00,52,fs1
10,9640,9100,2086,0,5,0.714,4,0.667,67,0,2014-01-12,400504526,-1.0,sunday,46,0,10,,00:00,70,fs1
11,10250,10250,2752,0,4,0.733,4,0.765,80,0,2014-01-16,400504531,-6.0,thursday,46,0,13,,00:00,67,cbssn
10,9786,20278,46,0,5,0.588,7,0.688,57,0,2014-01-18,400504534,-10.5,saturday,2550,0,11,,17:00,67,fs1
10,9014,20278,46,0,6,0.556,8,0.647,72,0,2014-01-21,400504540,-3.5,tuesday,269,0,11,,02:00,80,fs1
11,18859,15500,156,0,3,0.611,7,0.842,76,0,2014-01-26,400504547,-11.5,sunday,46,0,16,,01:02,63,fs1
17,11204,20278,46,0,8,0.895,2,0.579,60,9,2014-01-28,400504548,5.0,tuesday,222,0,11,,02:00,65,fs1
12,6339,17500,305,0,12,0.571,9,0.455,59,0,2014-02-04,400504557,3.0,tuesday,46,0,10,,02:00,71,fs1
12,13011,20278,46,0,9,0.545,10,0.591,71,0,2014-02-08,400504562,0,saturday,2086,0,13,,18:00,63,cbs
16,8063,20278,46,0,9,0.667,8,0.609,83,0,2014-02-11,400504565,-4.5,tuesday,2507,0,14,,00:00,71,fs1
15,10340,19812,2599,0,9,0.625,9,0.64,82,0,2014-02-17,400504574,-4.5,monday,46,0,16,,00:00,60,fs1
15,6590,18711,2550,0,12,0.6,10,0.52,82,0,2014-02-21,400504579,-2.0,friday,46,0,13,,02:00,67,cbssn
18,11854,20278,46,0,11,0.692,8,0.577,74,0,2014-02-22,400504580,-2.5,saturday,2752,0,15,,16:30,52,fs1
16,14874,18717,269,0,11,0.593,11,0.593,75,0,2014-02-28,400504588,-5.0,friday,46,0,16,,02:00,73,fs1
23,12105,20278,46,0,12,0.821,5,0.571,75,13,2014-03-05,400504594,4.0,wednesday,156,0,16,,00:00,63,fs1
17,18828,,222,0,3,0.586,12,0.9,77,6,2014-03-08,400504598,-11.5,saturday,46,0,27,,19:00,59,fs1
17,2133,2500,46,0,14,0.531,15,0.548,77,5,2014-03-18,400546976,-4.5,tuesday,277,4,17,,23:00,65,espn
17,3541,12500,52,0,12,0.531,15,0.636,101,4,2014-03-24,400547458,-4.5,monday,46,1,21,,23:00,90,espn
