away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,14111,14356,66,0,-1,0.0,1,2.0,106,7,2015-11-17,400816961,0,tuesday,2130,0,2,,01:00,64,
3,13305,14356,66,0,0,1.0,0,1.0,83,4,2015-11-24,400816962,0,tuesday,236,0,2,,01:00,63,
4,14272,14356,66,0,0,0.8,1,1.0,84,5,2015-12-02,400816964,0,wednesday,2449,0,5,,01:00,64,
4,14130,14356,66,0,0,0.5,4,1.0,84,4,2015-12-08,400816965,-21.0,tuesday,2084,0,6,156,02:00,63,espnu
7,14384,14356,66,0,0,0.778,2,1.0,83,4,2015-12-11,400830610,-7.5,friday,2294,0,7,155,00:30,82,espn2
2,14284,14356,66,0,0,0.222,7,1.0,78,4,2015-12-13,400816967,0,sunday,2029,0,8,,23:00,64,
9,13176,13176,2132,0,2,0.9,1,0.833,79,11,2015-12-23,400816968,-5.0,wednesday,66,22,10,144,00:00,81,espn2
1,14384,14356,66,0,0,0.071,13,1.0,104,11,2015-12-31,400816969,0,thursday,2154,0,11,,01:00,84,
11,11562,,201,0,0,0.917,1,1.0,87,11,2016-01-03,400831505,-6.5,sunday,66,3,11,163,00:00,83,espn2
11,14384,14356,66,0,2,0.917,1,0.846,76,13,2016-01-07,400831509,-11.0,thursday,2641,0,11,155,02:00,69,espnu
11,14384,14356,66,0,2,0.786,3,0.857,89,13,2016-01-09,400831510,-7.0,saturday,239,0,12,157,20:00,94,espn2
12,10663,16540,251,0,6,0.8,3,0.6,94,17,2016-01-13,400831514,1.0,wednesday,66,0,9,154,02:00,91,espn2
12,12462,12528,2306,0,5,0.75,4,0.688,63,17,2016-01-16,400831518,1.5,saturday,66,0,11,153,21:00,76,espnu
15,14384,14356,66,0,4,0.938,1,0.765,82,1,2016-01-19,400831521,-2.0,tuesday,201,19,13,170,02:00,77,espn
14,6014,6800,2628,0,9,0.778,4,0.5,60,19,2016-01-23,400831525,9.0,saturday,66,0,9,153,21:00,73,espnu
16,14384,14356,66,0,4,0.842,3,0.789,85,4,2016-01-26,400831526,-1.5,tuesday,2305,14,15,161,02:00,72,espn
16,12989,,245,0,3,0.8,4,0.85,72,14,2016-01-30,400809422,-4.5,saturday,66,5,17,156,19:00,62,espn
17,14384,14356,66,0,5,0.81,4,0.762,76,14,2016-02-03,400830921,-5.0,wednesday,277,13,16,157,02:00,81,espn2
16,6561,13611,197,0,11,0.727,6,0.5,59,13,2016-02-06,400831339,4.5,saturday,66,0,11,149,19:00,64,espn2
17,6715,15098,2641,0,9,0.739,6,0.591,85,14,2016-02-11,400831537,2.0,thursday,66,0,13,150,02:00,82,espnu
16,14384,14356,66,0,7,0.667,8,0.708,85,24,2016-02-14,400831541,-4.5,sunday,251,14,17,147,01:30,75,espn
17,5556,10284,239,0,6,0.68,8,0.76,100,13,2016-02-17,400831542,-2.0,wednesday,66,25,19,157,02:00,91,espn2
11,14384,14356,66,0,8,0.423,15,0.692,92,13,2016-02-21,400831547,-17.5,sunday,2628,0,18,146,00:30,83,espnu
19,10683,14000,277,0,7,0.704,8,0.741,97,17,2016-02-23,400831327,-6.0,tuesday,66,14,20,156,02:00,87,espn
15,14384,14356,66,0,9,0.536,13,0.679,80,17,2016-02-27,400831553,-8.5,saturday,2306,0,19,149,23:00,61,espn2
12,14384,14356,66,0,9,0.414,17,0.69,58,21,2016-03-01,400831345,-14.0,tuesday,197,0,20,145,00:00,50,espnu
21,16300,16300,2305,0,4,0.7,9,0.867,85,21,2016-03-05,400831560,-11.5,saturday,66,1,26,157,21:00,78,espn
