away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,13135,14356,66,1,0,0.0,0,0.0,61,0,2008-11-15,283190066,0,saturday,302,0,0,,01:00,58,
0,13999,14356,66,0,0,0.0,1,1.0,67,0,2008-11-15,283200066,0,saturday,2351,0,1,,18:30,55,
2,13415,14356,66,0,0,1.0,0,1.0,79,0,2008-11-17,283210066,0,monday,270,0,2,,01:00,61,
3,10300,,62,0,2,1.0,0,0.333,60,0,2008-11-25,283290062,0,tuesday,66,0,1,,05:05,59,
0,14356,,66,0,1,0.0,7,0.75,77,0,2008-11-29,283340066,0,saturday,2400,0,3,,18:30,59,
4,,,2460,0,2,0.8,1,0.667,66,0,2008-12-04,283382460,0,thursday,66,0,4,,02:05,71,
1,14356,,66,0,1,0.2,4,0.833,63,0,2008-12-06,283410066,0,saturday,204,0,5,,19:00,50,
6,14356,,66,0,1,0.75,2,0.857,63,0,2008-12-10,283440066,0,wednesday,2181,0,6,,02:00,66,
6,15000,,2294,0,2,0.75,2,0.8,73,0,2008-12-13,283472294,0,saturday,66,0,8,,01:05,57,
6,14356,,66,0,3,0.75,2,0.667,66,0,2008-12-21,283550066,0,sunday,55,0,6,,02:00,60,
5,14356,,66,0,3,0.385,8,0.7,58,0,2008-12-24,283580066,0,wednesday,2571,0,7,,01:00,65,
7,8479,,248,0,1,0.636,4,0.875,67,0,2008-12-28,283630248,0,sunday,66,0,7,,23:00,71,
7,14356,,66,0,4,0.583,5,0.667,67,0,2008-12-31,283660066,0,wednesday,2382,0,8,,22:00,49,
4,14356,,66,0,4,0.267,11,0.692,91,0,2009-01-04,290030066,0,sunday,2565,0,9,,01:00,55,
1,14356,,66,0,4,0.067,14,0.714,64,0,2009-01-07,290060066,0,wednesday,2277,0,10,,01:00,56,
11,16540,,251,0,3,0.733,4,0.786,75,7,2009-01-10,290100251,0,saturday,66,0,11,,21:00,67,
11,14356,,66,0,5,0.786,3,0.688,65,0,2009-01-15,290140066,0,thursday,158,0,11,,01:00,53,
12,15061,,142,0,3,0.706,5,0.824,77,0,2009-01-17,290170142,0,saturday,66,0,14,,18:30,46,
