away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,11389,12528,2306,1,0,0.0,0,0.0,80,0,2015-11-14,400831689,0,saturday,2379,0,0,,01:00,53,espn3
1,12528,,2306,0,0,1.0,0,1.0,81,0,2015-11-17,400831690,-4.5,tuesday,171,0,1,130,02:00,71,espn3
1,12528,,2306,0,0,0.333,2,1.0,93,0,2015-11-21,400813764,0,saturday,233,0,2,,01:00,72,espn3
3,11781,12528,2306,0,1,0.5,3,0.8,68,0,2015-11-29,400813765,0,sunday,2569,0,4,,20:00,66,espn3
5,6949,10523,61,0,2,0.833,1,0.6,66,0,2015-12-05,400813766,-2.5,saturday,2306,0,3,132,00:00,68,secn
2,11409,12528,2306,0,1,0.25,6,0.857,83,0,2015-12-10,400813767,0,thursday,2154,0,6,,01:00,58,espn3
7,7003,12989,245,0,2,0.875,1,0.778,78,0,2015-12-12,400813768,-10.0,saturday,2306,0,7,139,22:30,68,secn
5,12440,12528,2306,0,2,0.5,5,0.8,63,0,2015-12-23,400813769,-17.0,wednesday,155,0,8,138,01:00,49,espn3
5,12528,12528,2306,0,2,0.455,6,0.818,75,0,2015-12-30,400813770,-12.5,wednesday,139,0,9,126,01:00,47,espn3
11,12270,12528,2306,0,2,0.917,1,0.833,83,19,2016-01-02,400830913,5.0,saturday,277,0,10,138,17:00,87,espnu
10,10620,16540,251,0,5,0.769,3,0.615,60,0,2016-01-06,400831508,-5.5,wednesday,2306,0,8,137,01:00,57,lhn
10,11113,11562,201,0,1,0.714,4,0.923,86,2,2016-01-09,400831513,-12.5,saturday,2306,0,12,143,21:30,76,espnn
11,12316,12528,2306,0,5,0.786,3,0.667,83,0,2016-01-13,400831515,-3.5,wednesday,2641,0,10,136,01:00,70,espn3
12,12462,12528,2306,0,5,0.75,4,0.688,63,17,2016-01-16,400831518,1.5,saturday,66,0,11,153,21:00,76,espnu
11,10284,,239,0,3,0.647,6,0.824,79,13,2016-01-21,400831522,-8.5,thursday,2306,0,14,140,01:15,72,espnn
10,12298,12528,2306,0,7,0.556,8,0.611,89,0,2016-01-23,400831336,-5.5,saturday,197,0,11,133,23:00,73,espnu
12,9936,14000,277,0,3,0.632,7,0.842,70,9,2016-01-27,400830920,-10.5,wednesday,2306,0,16,143,00:00,55,espnn
13,12528,12528,2306,0,8,0.65,7,0.6,69,0,2016-01-30,400809420,-7.0,saturday,145,0,12,142,19:00,64,espnu
13,16300,16300,2305,0,4,0.619,8,0.81,77,7,2016-02-04,400831531,-12.0,thursday,2306,0,17,143,02:00,59,espn2
19,12528,12528,2306,0,9,0.905,2,0.591,80,1,2016-02-06,400831534,5.5,saturday,201,0,13,149,23:00,69,espnu
17,11636,12528,2306,0,9,0.739,6,0.609,72,21,2016-02-11,400831538,-2.5,thursday,239,0,14,139,01:15,82,espnn
14,4407,13611,197,0,13,0.583,10,0.458,58,0,2016-02-13,400831341,-1.5,saturday,2306,0,11,132,18:00,55,espnn
14,4999,6800,2628,0,14,0.56,11,0.44,49,0,2016-02-17,400845094,4.5,wednesday,2306,0,11,134,01:00,63,espnn
22,12528,12528,2306,0,11,0.846,4,0.577,63,2,2016-02-20,400831546,5.0,saturday,2305,0,15,144,23:00,72,espn2
17,11629,12528,2306,0,12,0.63,10,0.556,70,25,2016-02-23,400831548,-1.0,tuesday,251,0,15,132,00:00,71,espnu
15,14384,14356,66,0,9,0.536,13,0.679,80,17,2016-02-27,400831553,-8.5,saturday,2306,0,19,149,23:00,61,espn2
11,11518,12528,2306,0,14,0.379,18,0.517,79,0,2016-03-03,400831557,-11.0,thursday,2628,0,15,135,01:00,54,espn3
16,12359,15098,2641,0,11,0.533,14,0.621,80,0,2016-03-05,400831559,-5.0,saturday,2306,0,18,134,20:00,71,espnn
