away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,12004,12528,2306,1,0,0.0,0,0.0,58,0,2013-11-09,400498016,0,saturday,2458,0,0,,02:00,60,
1,11638,12528,2306,0,1,1.0,0,0.0,71,0,2013-11-14,400498250,0,thursday,198,0,0,,01:00,63,
1,12003,12528,2306,0,1,0.333,2,0.5,71,0,2013-11-17,400498254,0,sunday,299,0,1,,21:00,58,
2,11651,12528,2306,0,3,0.4,3,0.5,87,0,2013-12-01,400498282,0,sunday,2110,0,3,,21:00,54,
6,11990,12528,2306,0,3,1.0,0,0.571,61,0,2013-12-06,400498291,0,friday,145,0,4,,02:00,58,espn2
3,11612,12528,2306,0,3,0.375,5,0.625,64,0,2013-12-11,400498298,0,wednesday,233,0,5,,01:00,62,
4,11862,12528,2306,0,3,0.571,3,0.667,72,0,2013-12-15,400498307,0,sunday,2653,0,6,,23:00,43,
11,12532,12528,2306,0,3,0.917,1,0.75,72,0,2013-12-31,400498334,0,tuesday,45,0,9,,20:00,55,
12,12528,12528,2306,0,3,0.923,1,0.769,74,6,2014-01-04,400498337,0,saturday,197,0,10,,21:00,71,espnu
11,4280,6800,2628,0,4,0.786,3,0.692,47,25,2014-01-08,400498343,0,wednesday,2306,0,9,,01:00,65,espn3
12,16300,16300,2305,0,4,0.8,3,0.714,86,25,2014-01-11,400498348,0,saturday,2306,18,10,,19:00,60,espn
13,12250,12528,2306,0,4,0.813,3,0.75,72,25,2014-01-15,400498353,0,wednesday,201,0,12,,00:00,66,espn2
10,12528,12528,2306,0,4,0.588,7,0.765,78,0,2014-01-18,400498356,0,saturday,277,0,13,,18:30,56,espn3
14,8918,16540,251,0,4,0.778,4,0.778,67,22,2014-01-22,400498362,0,wednesday,2306,0,14,,00:00,64,espn2
14,14384,14356,66,0,3,0.737,5,0.824,81,22,2014-01-25,400498365,0,saturday,2306,16,14,,18:45,75,espn3
10,11805,12528,2306,0,6,0.5,10,0.7,66,0,2014-01-29,400498372,0,wednesday,2641,0,14,,01:00,58,espn3
15,10121,14000,277,0,9,0.714,6,0.571,81,0,2014-02-01,400498375,0,saturday,2306,0,12,,18:30,71,espn3
