away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,12901,18717,269,1,0,0.0,0,0.0,79,0,2014-11-15,400588321,-20.5,saturday,2630,0,0,,02:30,63,
1,13233,19500,194,0,0,1.0,0,1.0,74,20,2014-11-19,400588333,-9.5,wednesday,269,0,1,,00:30,63,espn2
1,12575,18717,269,0,1,0.5,1,0.5,89,0,2014-11-22,400586882,-16.0,saturday,2437,0,1,,19:30,97,
1,11966,18717,269,0,2,0.25,3,0.333,62,0,2014-11-25,400588342,-20.0,tuesday,2885,0,1,,02:00,57,fs1
7,18573,18717,269,0,3,0.875,1,0.571,38,2,2014-12-06,400588356,10.0,saturday,275,0,4,,17:30,49,cbs
6,12736,18717,269,0,4,0.667,3,0.5,78,0,2014-12-17,400588374,-2.0,wednesday,9,0,4,,02:00,71,fs1
1,3080,18717,269,0,4,0.143,6,0.556,83,0,2014-12-20,400588376,-21.5,saturday,2010,0,5,,02:00,49,fs1
4,12536,18717,269,0,4,0.4,6,0.6,67,0,2014-12-23,400585986,-18.5,tuesday,155,0,6,,02:00,54,
2,12701,18717,269,0,4,0.167,10,0.636,81,0,2014-12-28,400588391,-14.5,sunday,2415,0,7,,19:00,53,fs1
8,8079,17500,305,0,7,0.667,4,0.462,61,0,2014-12-31,400588396,5.0,wednesday,269,0,6,,22:00,58,fs1
11,15134,18717,269,0,5,0.786,3,0.615,75,0,2015-01-03,400588400,-1.0,saturday,2507,0,8,,19:00,66,
9,8762,20278,46,0,4,0.643,5,0.692,65,0,2015-01-07,400588404,-6.5,wednesday,269,0,9,,00:00,59,fs1
9,13069,18717,269,0,6,0.529,8,0.6,53,0,2015-01-15,400588416,-5.5,thursday,156,0,9,,02:00,52,cbssn
10,10372,10250,2752,0,6,0.625,6,0.647,62,0,2015-01-17,400588418,-9.5,saturday,269,0,11,,17:00,58,
10,19812,,2599,0,5,0.588,7,0.706,60,0,2015-01-22,400588424,-6.5,thursday,269,0,12,,00:00,57,fs1
13,15713,18717,269,0,8,0.722,5,0.556,85,0,2015-01-24,400588429,1.0,saturday,46,0,10,,19:30,95,fs1
13,14917,18717,269,0,9,0.684,6,0.526,70,0,2015-01-29,400588434,-2.0,thursday,2550,0,10,,00:00,80,fs1
15,15342,18717,269,0,10,0.714,6,0.5,68,25,2015-01-31,400588438,2.0,saturday,2086,0,10,,19:00,72,
10,13313,,222,0,2,0.476,11,0.905,70,7,2015-02-05,400588443,-15.0,thursday,269,0,19,,00:00,52,fs1
10,8566,18711,2550,0,7,0.455,12,0.682,54,0,2015-02-07,400588447,-6.0,saturday,269,0,15,,17:00,57,cbssn
15,12833,18717,269,0,12,0.625,9,0.478,44,0,2015-02-11,400588452,1.5,wednesday,2752,0,11,,02:00,64,fs1
11,17248,15500,156,0,14,0.458,13,0.44,77,0,2015-02-14,400588455,-4.0,saturday,269,0,11,,18:00,70,fs1
24,17961,18717,269,0,14,0.923,2,0.44,76,6,2015-02-21,400588464,10.5,saturday,222,0,11,,19:30,87,fox
11,7830,9100,2086,0,8,0.423,15,0.704,73,23,2015-02-26,400588470,-9.5,thursday,269,0,19,,01:00,52,fs1
11,12568,12993,2507,0,9,0.407,16,0.679,77,25,2015-03-01,400588475,-7.5,sunday,269,0,19,,20:30,66,fs1
20,14201,18717,269,0,17,0.69,9,0.393,51,0,2015-03-05,400588479,1.0,thursday,2599,0,11,,02:00,67,fs1
12,15923,18717,269,0,18,0.4,18,0.379,58,0,2015-03-07,400588483,-5.0,saturday,305,0,11,,19:00,48,fs1
