away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,14269,18717,269,1,0,0.0,0,0.0,63,17,2013-11-09,400504456,0,saturday,2582,0,0,,01:00,56,
0,13372,18717,269,0,0,0.0,2,2.0,114,17,2013-11-13,400504459,0,wednesday,2755,0,2,,00:00,71,fs1
2,18756,18717,269,0,0,1.0,0,1.0,35,10,2013-11-16,400504464,1.0,saturday,194,17,2,,18:00,52,
2,13522,18717,269,0,1,0.667,1,0.667,58,25,2013-11-22,400504472,-23.5,friday,160,0,2,,01:00,53,cbssn
3,9155,14198,9,0,0,0.75,1,1.0,79,25,2013-11-26,400504475,-6.0,tuesday,269,0,5,,02:00,77,fs1
3,4000,,2239,0,3,0.6,2,0.4,66,25,2013-11-28,400502935,9.5,thursday,269,0,2,,21:30,86,espn2
5,17249,17142,275,0,0,0.625,3,1.0,70,8,2013-12-07,400504488,-9.5,saturday,269,0,9,,19:15,64,btn
4,13972,18717,269,0,4,0.364,7,0.556,86,0,2013-12-14,400501597,-20.5,saturday,85,0,5,,20:00,50,fs1
2,13668,18717,269,0,4,0.286,5,0.6,91,0,2013-12-18,400504498,-20.0,wednesday,2050,0,6,,02:00,53,fs1
5,14668,18717,269,0,5,0.385,8,0.583,71,0,2013-12-28,400504506,-23.5,saturday,2535,0,7,,19:00,48,fsn
8,18525,15500,156,0,2,0.615,5,0.833,67,0,2014-01-01,400504514,-8.0,wednesday,269,0,10,,03:00,49,fs1
8,15194,18717,269,0,6,0.571,6,0.571,66,0,2014-01-04,400504517,-13.0,saturday,305,0,8,,19:00,56,cbssn
9,9630,10250,2752,0,3,0.6,6,0.8,86,0,2014-01-10,400504524,-4.0,friday,269,0,12,,02:00,79,fs1
10,15581,18717,269,0,7,0.625,6,0.563,67,0,2014-01-11,400504525,-12.0,saturday,2550,0,9,,19:00,66,fsn
10,10000,9100,2086,0,7,0.588,7,0.588,69,0,2014-01-18,400504536,-1.0,saturday,269,0,10,,19:00,57,cbssn
10,9014,20278,46,0,6,0.556,8,0.647,72,0,2014-01-21,400504540,-3.5,tuesday,269,0,11,,02:00,80,fs1
16,16662,18717,269,0,8,0.889,2,0.579,85,4,2014-01-25,400504544,2.5,saturday,222,0,11,,19:00,94,fs1
15,15248,18717,269,0,9,0.75,5,0.55,61,0,2014-01-31,400504551,-5.5,friday,2507,0,11,,00:00,50,fs1
12,12561,19812,2599,0,9,0.571,9,0.571,74,0,2014-02-01,400504553,0,saturday,269,0,12,,17:30,59,fs1
12,14479,18717,269,0,10,0.571,9,0.545,69,0,2014-02-05,400504559,-7.0,wednesday,2086,0,12,,02:00,62,fs1
13,6342,18711,2550,0,10,0.565,10,0.565,66,0,2014-02-12,400504566,-1.0,wednesday,269,0,13,,00:00,77,fs1
17,18644,18717,269,0,10,0.708,7,0.583,81,0,2014-02-15,400504572,-3.0,saturday,2752,0,14,,21:00,72,fs1
21,15539,18717,269,0,10,0.84,4,0.6,70,11,2014-02-20,400504578,3.0,thursday,156,0,15,,01:00,85,fs1
15,9342,17500,305,0,17,0.577,11,0.37,94,0,2014-02-22,400504582,7.0,saturday,269,0,10,,19:00,96,cbssn
16,14874,18717,269,0,11,0.593,11,0.593,75,0,2014-02-28,400504588,-5.0,friday,46,0,16,,02:00,73,fs1
17,15026,,222,0,3,0.607,11,0.893,73,8,2014-03-02,400504592,-11.5,sunday,269,0,25,,19:00,56,cbs
17,11469,12993,2507,0,10,0.586,12,0.655,81,0,2014-03-05,400504595,-3.5,wednesday,269,0,19,,02:00,80,fs1
19,16784,18717,269,0,13,0.633,11,0.567,90,0,2014-03-08,400504601,-3.0,saturday,2599,0,17,,17:00,91,fs1
0,12901,18717,269,1,0,0.0,0,0.0,79,0,2014-11-15,400588321,-20.5,saturday,2630,0,0,,02:30,63,
1,13233,19500,194,0,0,1.0,0,1.0,74,20,2014-11-19,400588333,-9.5,wednesday,269,0,1,,00:30,63,espn2
1,12575,18717,269,0,1,0.5,1,0.5,89,0,2014-11-22,400586882,-16.0,saturday,2437,0,1,,19:30,97,
1,11966,18717,269,0,2,0.25,3,0.333,62,0,2014-11-25,400588342,-20.0,tuesday,2885,0,1,,02:00,57,fs1
7,18573,18717,269,0,3,0.875,1,0.571,38,2,2014-12-06,400588356,10.0,saturday,275,0,4,,17:30,49,cbs
6,12736,18717,269,0,4,0.667,3,0.5,78,0,2014-12-17,400588374,-2.0,wednesday,9,0,4,,02:00,71,fs1
1,3080,18717,269,0,4,0.143,6,0.556,83,0,2014-12-20,400588376,-21.5,saturday,2010,0,5,,02:00,49,fs1
4,12536,18717,269,0,4,0.4,6,0.6,67,0,2014-12-23,400585986,-18.5,tuesday,155,0,6,,02:00,54,
2,12701,18717,269,0,4,0.167,10,0.636,81,0,2014-12-28,400588391,-14.5,sunday,2415,0,7,,19:00,53,fs1
8,8079,17500,305,0,7,0.667,4,0.462,61,0,2014-12-31,400588396,5.0,wednesday,269,0,6,,22:00,58,fs1
11,15134,18717,269,0,5,0.786,3,0.615,75,0,2015-01-03,400588400,-1.0,saturday,2507,0,8,,19:00,66,
9,8762,20278,46,0,4,0.643,5,0.692,65,0,2015-01-07,400588404,-6.5,wednesday,269,0,9,,00:00,59,fs1
9,13069,18717,269,0,6,0.529,8,0.6,53,0,2015-01-15,400588416,-5.5,thursday,156,0,9,,02:00,52,cbssn
10,10372,10250,2752,0,6,0.625,6,0.647,62,0,2015-01-17,400588418,-9.5,saturday,269,0,11,,17:00,58,
10,19812,,2599,0,5,0.588,7,0.706,60,0,2015-01-22,400588424,-6.5,thursday,269,0,12,,00:00,57,fs1
13,15713,18717,269,0,8,0.722,5,0.556,85,0,2015-01-24,400588429,1.0,saturday,46,0,10,,19:30,95,fs1
13,14917,18717,269,0,9,0.684,6,0.526,70,0,2015-01-29,400588434,-2.0,thursday,2550,0,10,,00:00,80,fs1
15,15342,18717,269,0,10,0.714,6,0.5,68,25,2015-01-31,400588438,2.0,saturday,2086,0,10,,19:00,72,
10,13313,,222,0,2,0.476,11,0.905,70,7,2015-02-05,400588443,-15.0,thursday,269,0,19,,00:00,52,fs1
10,8566,18711,2550,0,7,0.455,12,0.682,54,0,2015-02-07,400588447,-6.0,saturday,269,0,15,,17:00,57,cbssn
15,12833,18717,269,0,12,0.625,9,0.478,44,0,2015-02-11,400588452,1.5,wednesday,2752,0,11,,02:00,64,fs1
11,17248,15500,156,0,14,0.458,13,0.44,77,0,2015-02-14,400588455,-4.0,saturday,269,0,11,,18:00,70,fs1
24,17961,18717,269,0,14,0.923,2,0.44,76,6,2015-02-21,400588464,10.5,saturday,222,0,11,,19:30,87,fox
11,7830,9100,2086,0,8,0.423,15,0.704,73,23,2015-02-26,400588470,-9.5,thursday,269,0,19,,01:00,52,fs1
11,12568,12993,2507,0,9,0.407,16,0.679,77,25,2015-03-01,400588475,-7.5,sunday,269,0,19,,20:30,66,fs1
20,14201,18717,269,0,17,0.69,9,0.393,51,0,2015-03-05,400588479,1.0,thursday,2599,0,11,,02:00,67,fs1
12,15923,18717,269,0,18,0.4,18,0.379,58,0,2015-03-07,400588483,-5.0,saturday,305,0,11,,19:00,48,fs1
0,12628,18717,269,1,0,0.0,0,0.0,80,0,2015-11-14,400820670,-3.5,saturday,2057,0,0,,02:00,83,
1,11597,18717,269,0,1,1.0,0,0.0,75,0,2015-11-17,400820671,-13.5,tuesday,85,0,0,139,02:00,71,
2,13297,18717,269,0,1,1.0,0,0.5,61,0,2015-11-20,400809397,3.0,friday,2294,0,1,,02:00,89,fs1
2,11764,18717,269,0,2,0.333,4,0.6,80,0,2015-11-29,400827758,-12.5,sunday,2296,0,3,,18:30,61,
2,11618,18717,269,0,2,0.286,5,0.667,95,0,2015-12-03,400827759,-28.0,thursday,2755,0,4,136,01:00,49,
1,12304,18717,269,0,1,0.167,5,0.857,104,0,2015-12-05,400823017,0,saturday,311,0,6,,19:30,67,
4,11696,18717,269,0,2,0.5,4,0.75,80,0,2015-12-09,400827760,-21.5,wednesday,23,0,6,151,01:00,62,
7,17287,17142,275,0,4,0.778,2,0.6,55,0,2015-12-12,400827761,-7.0,saturday,269,0,6,136,18:30,57,espn2
4,11937,18717,269,0,2,0.308,9,0.8,91,0,2015-12-22,400840283,-23.0,tuesday,2130,0,8,141,00:00,74,fs1
5,12226,18717,269,0,2,0.417,7,0.818,84,0,2015-12-27,400827763,-23.0,sunday,2506,0,9,140,19:00,66,fs1
10,13314,18717,269,0,2,0.833,2,0.833,63,0,2015-12-31,400840284,-3.0,thursday,2550,0,10,140,00:00,83,fs1
10,10253,20278,46,0,5,0.769,3,0.615,80,0,2016-01-02,400840261,-7.0,saturday,269,0,8,142,22:30,70,fs1
10,10446,12993,2507,0,1,0.714,4,0.933,64,8,2016-01-06,400840285,-9.5,wednesday,269,0,14,151,00:00,65,fs1
7,13468,18717,269,0,4,0.438,9,0.733,81,0,2016-01-09,400840286,-12.0,saturday,2599,0,11,141,19:00,75,fsn
12,6500,6500,222,0,2,0.75,4,0.875,83,6,2016-01-14,400840287,-18.0,thursday,269,0,14,144,01:30,68,fs1
15,14864,18717,269,0,5,0.938,1,0.706,66,7,2016-01-16,400840288,6.5,saturday,2752,0,12,152,19:00,74,fs1
6,12695,18717,269,0,6,0.333,12,0.667,56,0,2016-01-21,400840240,-8.5,thursday,305,0,12,149,01:00,57,fs1
12,1032,5602,2599,0,12,0.632,7,0.368,73,0,2016-01-24,400862729,5.0,sunday,269,0,7,142,20:45,78,
8,11756,18717,269,0,7,0.381,13,0.65,74,0,2016-01-28,400827764,-19.5,thursday,56,0,13,157,02:15,60,fs1
14,15234,18717,269,0,7,0.7,6,0.667,75,0,2016-01-30,400840209,2.5,saturday,2086,0,14,145,17:00,69,fs1
15,6008,18711,2550,0,6,0.682,7,0.714,79,0,2016-02-04,400840290,-7.0,thursday,269,0,15,148,01:45,62,fs1
15,10509,10250,2752,0,2,0.652,8,0.909,90,6,2016-02-06,400840291,-12.5,saturday,269,0,20,149,17:00,82,fs1
18,14616,18717,269,0,9,0.75,6,0.625,96,20,2016-02-11,400840292,1.0,thursday,2507,0,15,145,00:00,91,cbssn
16,15844,18717,269,0,9,0.64,9,0.64,62,0,2016-02-14,400840230,1.0,sunday,156,0,16,150,01:00,65,fsn
16,8524,17500,305,0,17,0.615,10,0.32,60,0,2016-02-20,400840245,4.5,saturday,269,0,8,142,19:00,73,fsn
17,17412,15500,156,0,10,0.63,10,0.63,61,0,2016-02-25,400840231,-7.5,thursday,269,0,17,148,01:00,66,cbssn
24,19043,18717,269,0,10,0.857,4,0.643,79,1,2016-02-27,400840293,8.5,saturday,222,0,18,142,19:00,89,fox
14,12957,18717,269,0,11,0.483,15,0.621,88,0,2016-03-02,400840271,-3.5,wednesday,46,0,18,145,02:00,87,fs1
19,9244,9100,2086,0,9,0.633,11,0.69,95,0,2016-03-05,400840218,-10.0,saturday,269,0,20,153,19:30,74,fox/fsn
