Team,Year,G,Attendance_Total,Attendance_Avg
A&M-Corpus Christi,2009,12,19092,1591
Air Force,2009,17,47265,2780
Akron,2009,14,41773,2984
Alabama,2009,18,179275,9960
Alabama A&M,2009,13,23058,1774
Alabama St.,2009,11,23549,2141
Albany (NY),2009,14,39558,2826
Alcorn St.,2009,12,9640,803
American,2009,14,27065,1933
Appalachian St.,2009,14,32841,2346
Arizona,2009,17,232576,13681
Arizona St.,2009,15,140314,9354
Ark.-Pine Bluff,2009,9,17776,1975
Arkansas,2009,18,288781,16043
Arkansas St.,2009,14,48987,3499
Army,2009,14,11391,814
Auburn,2009,22,112374,5108
Austin Peay,2009,14,49372,3527
Ball St.,2009,16,58448,3653
Baylor,2009,19,134256,7066
Belmont,2009,13,24136,1857
Bethune-Cookman,2009,12,22623,1885
Binghamton,2009,14,54511,3894
Boise St.,2009,16,64709,4044
Boston College,2009,19,105418,5548
Boston U.,2009,15,17345,1156
Bowling Green,2009,14,24200,1729
Bradley,2009,18,163981,9110
Brown,2009,13,13210,1016
Bucknell,2009,14,35126,2509
Buffalo,2009,13,34615,2663
Butler,2009,17,100253,5897
BYU,2009,16,214134,13383
Cal Poly,2009,15,23597,1573
Cal St. Fullerton,2009,12,15630,1303
Cal St. Northridge,2009,12,13128,1094
California,2009,18,155233,8624
Campbell,2009,14,22661,1619
Canisius,2009,13,19107,1470
Centenary (LA),2009,9,6851,761
Central Conn. St.,2009,13,25406,1954
Central Mich.,2009,14,14842,1060
Charleston So.,2009,17,18285,1076
Charlotte,2009,15,92763,6184
Chattanooga,2009,16,64634,4040
Chicago St.,2009,14,14818,1058
Cincinnati,2009,18,140725,7818
Citadel,2009,15,32899,2193
Clemson,2009,16,135619,8476
Cleveland St.,2009,15,35918,2395
Coastal Caro.,2009,14,13718,980
Col. of Charleston,2009,16,60129,3758
Colgate,2009,11,4463,406
Colorado,2009,17,78823,4637
Colorado St.,2009,15,48858,3257
Columbia,2009,14,13939,996
Connecticut,2009,16,200284,12518
Coppin St.,2009,8,6408,801
Cornell,2009,13,37617,2894
Creighton,2009,19,302676,15930
Dartmouth,2009,15,12828,855
Davidson,2009,16,84050,5253
Dayton,2009,18,229768,12765
Delaware,2009,15,43755,2917
Delaware St.,2009,11,11923,1084
Denver,2009,15,31926,2128
DePaul,2009,16,130380,8149
Detroit,2009,12,22714,1893
Drake,2009,19,96925,5101
Drexel,2009,13,25146,1934
Duke,2009,17,158338,9314
Duquesne,2009,15,41796,2786
East Carolina,2009,16,80678,5042
East Tenn. St.,2009,13,44532,3426
Eastern Ill.,2009,14,14172,1012
Eastern Ky.,2009,14,30075,2148
Eastern Mich.,2009,14,11620,830
Eastern Wash.,2009,14,26321,1880
Elon,2009,14,14714,1051
Evansville,2009,19,111400,5863
Fairfield,2009,13,30205,2323
Fairleigh Dickinson,2009,13,6930,533
FIU,2009,17,11571,681
Fla. Atlantic,2009,12,12202,1017
Florida,2009,20,206547,10327
Florida A&M,2009,10,22735,2274
Florida St.,2009,16,126359,7897
Fordham,2009,15,30549,2037
Fresno St.,2009,17,152479,8969
Furman,2009,13,16630,1279
Ga. Southern,2009,13,28369,2182
Gardner-Webb,2009,12,20908,1742
George Mason,2009,14,88125,6295
George Washington,2009,12,28061,2338
Georgetown,2009,16,205224,12827
Georgia,2009,18,120602,6700
Georgia St.,2009,14,20920,1494
Georgia Tech,2009,17,127101,7477
Gonzaga,2009,12,72000,6000
Grambling,2009,12,21892,1824
Green Bay,2009,15,61295,4086
Hampton,2009,11,20730,1885
Hartford,2009,12,17090,1424
Harvard,2009,13,15248,1173
Hawaii,2009,20,117779,5889
High Point,2009,15,16923,1128
Hofstra,2009,13,34851,2681
Holy Cross,2009,16,38464,2404
Houston,2009,15,57209,3814
Howard,2009,13,14829,1141
Idaho,2009,16,27858,1741
Idaho St.,2009,15,41331,2755
Ill.-Chicago,2009,14,55367,3955
Illinois,2009,17,263477,15499
Illinois St.,2009,15,106770,7118
Indiana,2009,15,214971,14331
Indiana St.,2009,14,56123,4009
Iona,2009,12,29198,2433
Iowa,2009,17,184643,10861
Iowa St.,2009,19,227338,11965
IPFW,2009,13,28382,2183
IUPUI,2009,13,17652,1358
Jackson St.,2009,9,21491,2388
Jacksonville,2009,15,35798,2387
Jacksonville St.,2009,12,27535,2295
James Madison,2009,13,46837,3603
Kansas,2009,19,310652,16350
Kansas St.,2009,20,178804,8940
Kent St.,2009,16,50729,3171
Kentucky,2009,19,422547,22239
La Salle,2009,17,43243,2544
La.-Lafayette,2009,16,45913,2870
La.-Monroe,2009,14,12694,907
Lafayette,2009,14,24526,1752
Lamar,2009,14,51419,3673
Lehigh,2009,14,17292,1235
Liberty,2009,18,59471,3304
Lipscomb,2009,16,24464,1529
Long Beach St.,2009,14,34174,2441
Long Island,2009,15,13008,867
Longwood,2009,15,16785,1119
Louisiana Tech,2009,13,28468,2190
Louisville,2009,18,349142,19397
Loyola (IL),2009,16,36325,2270
Loyola (MD),2009,13,15982,1229
Loyola Marymount,2009,13,27452,2112
LSU,2009,21,217834,10373
Maine,2009,13,17087,1314
Manhattan,2009,14,21267,1519
Marist,2009,14,28735,2053
Marquette,2009,18,291596,16200
Marshall,2009,16,77946,4872
Maryland,2009,18,306858,17048
Massachusetts,2009,14,70916,5065
McNeese St.,2009,14,11545,825
Md.-East. Shore,2009,11,26450,2405
Memphis,2009,20,338658,16933
Mercer,2009,12,21530,1794
Miami (FL),2009,16,72599,4537
Miami (OH),2009,11,27828,2530
Michigan,2009,17,179664,10568
Michigan St.,2009,14,206626,14759
Middle Tenn.,2009,16,61332,3833
Milwaukee,2009,15,49125,3275
Minnesota,2009,19,254602,13400
Mississippi,2009,16,105969,6623
Mississippi St.,2009,18,157111,8728
Mississippi Val.,2009,10,21144,2114
Missouri,2009,18,176497,9805
Missouri St.,2009,17,121502,7147
Monmouth,2009,14,15376,1098
Montana,2009,15,55691,3713
Montana St.,2009,12,40647,3387
Morehead St.,2009,13,35359,2720
Morgan St.,2009,10,22607,2261
Mt. St. Mary's,2009,14,20554,1468
Murray St.,2009,14,49606,3543
N.C. A&T,2009,12,29318,2443
Navy,2009,15,31310,2087
Nebraska,2009,18,185153,10286
Nevada,2009,21,146022,6953
New Hampshire,2009,13,13029,1002
New Mexico,2009,18,251883,13994
New Mexico St.,2009,16,99839,6240
New Orleans,2009,15,11143,743
Niagara,2009,14,29433,2102
Nicholls St.,2009,13,17622,1356
Norfolk St.,2009,10,20356,2036
North Carolina,2009,15,315519,21035
North Carolina St.,2009,18,242206,13456
North Dakota St.,2009,13,46748,3596
North Texas,2009,16,48063,3004
Northeastern,2009,12,24488,2041
Northern Ariz.,2009,12,11957,996
Northern Colo.,2009,14,18206,1300
Northern Ill.,2009,12,21678,1807
Northwestern,2009,17,83011,4883
Northwestern St.,2009,13,17017,1309
Notre Dame,2009,18,169703,9428
Oakland,2009,14,58184,4156
Ohio,2009,13,65212,5016
Ohio St.,2009,18,278319,15462
Oklahoma,2009,17,195324,11490
Oklahoma St.,2009,16,160492,10031
Old Dominion,2009,19,114911,6048
Oral Roberts,2009,11,61872,5625
Oregon,2009,15,119577,7972
Oregon St.,2009,20,104462,5223
Pacific,2009,16,46463,2904
Penn,2009,13,47532,3656
Penn St.,2009,20,160399,8020
Pepperdine,2009,15,17066,1138
Pittsburgh,2009,19,212682,11194
Portland,2009,14,27715,1980
Portland St.,2009,13,14383,1106
Prairie View,2009,13,12460,958
Princeton,2009,14,31082,2220
Providence,2009,18,149585,8310
Purdue,2009,18,246744,13708
Quinnipiac,2009,13,20499,1577
Radford,2009,17,23517,1383
Rhode Island,2009,14,74196,5300
Rice,2009,15,31423,2095
Richmond,2009,18,82060,4559
Rider,2009,15,24099,1607
Robert Morris,2009,16,16664,1042
Rutgers,2009,18,84012,4667
Sacramento St.,2009,13,9779,752
Sacred Heart,2009,14,13742,982
Sam Houston St.,2009,15,21595,1440
Samford,2009,14,15942,1139
San Diego,2009,15,44089,2939
San Diego St.,2009,17,121320,7136
San Francisco,2009,12,26406,2201
San Jose St.,2009,14,26219,1873
Santa Clara,2009,14,34656,2475
Savannah St.,2009,16,15160,948
Seton Hall,2009,16,116799,7300
Siena,2009,17,127453,7497
SMU,2009,17,48199,2835
South Ala.,2009,16,53139,3321
South Carolina,2009,19,223750,11776
South Carolina St.,2009,14,16634,1188
South Dakota St.,2009,13,32334,2487
South Fla.,2009,14,58628,4188
Southeast Mo. St.,2009,13,33973,2613
Southeastern La.,2009,13,13272,1021
Southern California,2009,17,95507,5618
Southern Ill.,2009,14,82485,5892
Southern Miss.,2009,14,53044,3789
Southern U.,2009,13,11306,870
Southern Utah,2009,14,37867,2705
St. Bonaventure,2009,14,57901,4136
St. Francis (NY),2009,12,5726,477
St. Francis (PA),2009,12,13772,1148
St. John's (NY),2009,20,108350,5418
St. Joseph's,2009,14,86159,6154
St. Louis,2009,17,129661,7627
St. Mary's (CA),2009,16,51768,3236
St. Peter's,2009,14,13095,935
Stanford,2009,18,121037,6724
Stephen F. Austin,2009,13,40825,3140
