Team,Arena,City,State,Conference,Capacity,Date_Opened
Abilene Christian,Moody Coliseum,Abilene,TX,Southland,4600,1968
Air Force,Clune Arena,Colorado Springs,CO,Mountain West,5858,1968
Akron,James A. Rhodes Arena,Akron,OH,MAC,5500,1983
Alabama,Coleman Coliseum,Tuscaloosa,AL,SEC,15383,1968
Alabama A&M,Elmore Gymnasium,Normal,AL,SWAC,6000,1973
Alabama St.,Dunn_Oliver Acadome,Montgomery,AL,SWAC,7400,1992
Albany (NY),SEFCU Arena,Guilderland,NY,America East,4538,1992
Alcorn St.,Davey Whitney Complex,Lorman,MS,SWAC,7000,1975
American,Bender Arena,Washington,DC,Patriot,4500,1988
Appalachian St.,George M. Holmes Convocation Center,Boone,NC,Sun Belt,8325,2000
Arizona,McKale Center,Tucson,AZ,Pac-12,14545,1973
Arizona St.,Wells Fargo Arena,Tempe,AZ,Pac-12,10754,1974
Arkansas,Bud Walton Arena,Fayetteville,AR,SEC,19368,1993
Arkansas St.,Convocation Center,Jonesboro,AR,Sun Belt,10563,1987
Ark.-Pine Bluff,K. L. Johnson Complex,Pine Bluff,AR,SWAC,4500,1982
Army,Christl Arena,West Point,NY,Patriot,5043,1985
Auburn,Auburn Arena,Auburn,AL,SEC,9121,2010
Austin Peay,Dunn Center,Clarksville,TN,Ohio Valley,9000,1975
Ball St.,John E. Worthen Arena,Muncie,IN,MAC,11500,1991
Baylor,Ferrell Center,Waco,TX,Big 12,10347,1988
Belmont,Curb Event Center,Nashville,TN,Ohio Valley,5085,2003
Bethune-Cookman,Moore Gymnasium,Daytona,FL,MEAC,3000,1953
Binghamton,Binghamton University Events Center,Vestal,NY,America East,5142,2004
Boise St.,Taco Bell Arena,Boise,ID,Mountain West,12480,1982
Boston College,Conte Forum,Chestnut Hill,MA,ACC,8606,1988
Boston U.,Agganis Arena,Boston,MA,Patriot,7200,2005
Bowling Green,Stroh Center,Bowling Green,OH,MAC,4700,2011
Bradley,Carver Arena,Peoria,IL,Missouri Valley,11164,1982
Brown,Pizzitola Sports Center,Providence,RI,Ivy,2800,1989
Bryant,Chace Athletic Center,Smithfield,RI,Northeast,2700,2001
Bucknell,Sojka Pavilion,Lewisburg,PA,Patriot,4000,2003
Buffalo,Alumni Arena,Amherst,NY,MAC,6100,1982
Butler,Hinkle Fieldhouse,Indianapolis,IN,Big East,9100,1928
BYU,Marriott Center,Provo,UT,West Coast,19000,1971
Cal Poly,Mott Gym,San Luis Obispo,CA,Big West,3032,1960
Cal St. Bakersfield,Icardo Center,Bakersfield,CA,WAC,3800,1989
Cal St. Fullerton,Titan Gym,Fullerton,CA,Big West,4000,1964
Cal St. Northridge,Matadome,Northridge,CA,Big West,1600,1962
California,Haas Pavilion,Berkeley,CA,Pac-12,11877,1933
Campbell,"John W. Pope, Jr. Convocation Center",Buies Creek,NC,Big South,3095,2008
Canisius,Koessler Athletic Center,Buffalo,NY,MAAC,2176,1968
Central Arkansas,Farris Center,Conway,AR,Southland,6000,1972
Central Conn. St.,William H. Detrick Gymnasium,New Britain,CT,Northeast,2654,1965
Central Mich.,McGuirk Arena,Mount Pleasant,MI,MAC,5300,1973
Col. Of Charleston,TD Arena,Charleston,SC,CAA,5100,2008
Charleston So.,CSU Field House,North Charleston,SC,Big South,881,1965
Charlotte,Dale F. Halton Arena,Charlotte,NC,C-USA,9105,1996
Chattanooga,McKenzie Arena,Chattanooga,TN,Southern,10928,1982
Chicago St.,Emil and Patricia Jones Convocation Center,Chicago,IL,WAC,7000,2007
Cincinnati,Fifth Third Arena,Cincinnati,OH,American,13176,1989
Clemson,Littlejohn Coliseum,Clemson,SC,ACC,10000,1968
Cleveland St.,Wolstein Center,Cleveland,OH,Horizon,13610,1991
Coastal Caro.,HTC Center,Conway,SC,Sun Belt,3600,2012
Colgate,Cotterell Court,Hamilton,NY,Patriot,1750,1959
Colorado,Coors Events Center,Boulder,CO,Pac-12,11064,1979
Colorado St.,Moby Arena,Fort Collins,CO,Mountain West,8745,1966
Columbia,Levien Gymnasium,New York,NY,Ivy,3408,1974
Connecticut,Harry A. Gampel Pavilion,Storrs,CT,American,10167,1990
Coppin St.,Physical Education Complex,Baltimore,MD,MEAC,4100,2009
Cornell,Newman Arena,Ithaca,NY,Ivy,4473,1990
Creighton,CenturyLink Center Omaha,Omaha,NE,Big East,18320,2003
Dartmouth,Leede Arena,Hanover,NH,Ivy,2100,1986
Davidson,John M. Belk Arena,Davidson,NC,Atlantic 10,5223,1989
Dayton,University of Dayton Arena,Dayton,OH,Atlantic 10,13435,1969
Delaware,Bob Carpenter Center,Newark,DE,CAA,5000,1992
Delaware St.,Memorial Hall,Dover,DE,MEAC,3000,1982
Denver,Magness Arena,Denver,CO,Summit,7200,1999
DePaul,Allstate Arena,Rosemont,IL,Big East,17500,1980
Detroit,Calihan Hall,Detroit,MI,Horizon,8295,1952
Drake,Knapp Center,Des Moines,IA,Missouri Valley,7152,1992
Drexel,Daskalakis Athletic Center,Philadelphia,PA,CAA,2509,1974
Duke,Cameron Indoor Stadium,Durham,NC,ACC,9314,1940
Duquesne,Palumbo Center,Pittsburgh,PA,Atlantic 10,4406,1988
East Carolina,Williams Arena at Minges Coliseum,Greenville,NC,American,8000,1968
East Tenn. St.,Freedom Hall Civic Center,Johnson City,TN,Southern,5619,1974
Eastern Ill.,Lantz Arena,Charleston,IL,Ohio Valley,5300,1967
Eastern Ky.,Alumni Coliseum,Richmond,KY,Ohio Valley,6500,1963
Eastern Mich.,Convocation Center,Ypsilanti,MI,MAC,8824,1998
Eastern Wash.,Reese Court,Cheney,WA,Big Sky,6000,1981
Elon,Alumni Gym,Elon,NC,CAA,1585,1949
Evansville,Ford Center,Evansville,IN,Missouri Valley,10000,2011
Fairfield,Webster Bank Arena,Bridgeport,CT,MAAC,9000,2001
Fairleigh Dickinson,Rothman Center,Hackensack,NJ,Northeast,5000,1987
Florida,O'Connell Center,Gainesville,FL,SEC,12000,1980
Florida A&M,Teaching Gym,Tallahassee,FL,MEAC,9639,2009
Fla. Atlantic,FAU Arena,Boca Raton,FL,C-USA,5000,1984
Florida Gulf Coast,Alico Arena,Fort Myers,FL,Atlantic Sun,4500,2002
FIU,FIU Arena,Miami,FL,C-USA,5000,1986
Florida St.,Donald L. Tucker Civic Center,Tallahassee,FL,ACC,12100,1981
Fordham,Rose Hill Gymnasium,Bronx,NY,Atlantic 10,3200,1925
Fort Wayne,Hilliard Gates Sports Center,Fort Wayne,IN,Summit,2300,1981
Fresno St.,Save Mart Center,Fresno,CA,Mountain West,15544,2003
Furman,Timmons Arena,Greenville,SC,Southern,4000,1998
Gardner-Webb,Paul Porter Arena,Boiling Springs,NC,Big South,5000,1982
George Mason,Patriot Center,Fairfax,VA,Atlantic 10,10000,1985
