away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,12688,18119,235,0,0,0.0,0,1.0,78,8,2015-11-17,400816810,4.0,tuesday,201,0,1,150,22:00,84,espn
0,8364,11562,201,0,0,0.0,2,1.0,85,8,2015-11-21,400816970,0,saturday,2377,0,1,,01:00,56,
2,11562,,201,0,0,0.667,1,1.0,96,7,2015-11-25,400816971,0,wednesday,2916,0,2,,01:00,63,
4,11562,,201,0,0,0.667,2,1.0,65,7,2015-11-29,400816972,0,sunday,275,0,3,,19:30,48,espn2
0,7109,11562,201,0,-1,0.0,6,1.25,111,6,2015-12-04,400816973,-29.5,friday,2110,0,5,160,01:00,68,
8,9421,11562,201,0,0,0.8,2,1.0,96,7,2015-12-12,400816974,-20.0,saturday,198,0,6,153,19:00,73,
7,9528,11562,201,0,0,0.7,3,1.0,87,3,2015-12-19,400816975,-14.0,saturday,156,0,7,159,19:00,74,espnu
9,10300,,62,0,1,1.0,0,0.889,81,3,2015-12-24,400858188,6.5,thursday,201,0,8,151,02:00,84,espn2
11,11562,,201,0,0,0.917,1,1.0,87,11,2016-01-03,400831505,-6.5,sunday,66,3,11,163,00:00,83,espn2
12,16300,16300,2305,0,1,1.0,0,0.923,109,2,2016-01-05,400831507,-7.5,tuesday,201,1,12,159,02:00,106,espn
10,11113,11562,201,0,1,0.714,4,0.923,86,2,2016-01-09,400831513,-12.5,saturday,2306,0,12,143,21:30,76,espnn
13,9380,13611,197,0,6,0.929,1,0.6,72,2,2016-01-14,400831333,8.0,thursday,201,0,9,147,02:00,74,espnu
15,11562,,201,0,1,0.938,1,0.933,70,11,2016-01-16,400830917,-4.5,saturday,277,2,14,160,21:00,68,espn2
15,14384,14356,66,0,4,0.938,1,0.765,82,1,2016-01-19,400831521,-2.0,tuesday,201,19,13,170,02:00,77,espn
15,10206,10284,239,0,3,0.882,2,0.833,72,1,2016-01-23,400831523,-1.0,saturday,201,13,15,150,17:00,82,espn
12,11562,,201,0,2,0.667,6,0.889,91,1,2016-01-27,400831527,-12.5,wednesday,2641,0,16,150,00:00,67,espn2
17,13882,13215,99,0,7,0.895,2,0.65,75,1,2016-01-30,400809419,3.0,saturday,201,0,13,165,22:00,77,espn
10,11562,,201,0,2,0.476,11,0.9,95,1,2016-02-03,400831530,-20.0,wednesday,2628,0,18,146,01:00,72,espnn
19,12528,12528,2306,0,9,0.905,2,0.591,80,1,2016-02-06,400831534,5.5,saturday,201,0,13,149,23:00,69,espnu
16,11562,,201,0,3,0.696,7,0.864,63,24,2016-02-09,400831536,-7.5,tuesday,251,3,19,147,02:00,60,espn
20,12247,11562,201,0,3,0.833,4,0.87,72,6,2016-02-13,400831539,-3.5,saturday,2305,3,20,156,19:30,76,espn
20,14471,15098,2641,0,9,0.833,4,0.625,65,3,2016-02-18,400831543,4.0,thursday,201,0,15,148,02:00,63,espnu
20,15289,14000,277,0,6,0.8,5,0.769,62,3,2016-02-20,400830926,-4.0,saturday,201,10,20,153,21:00,76,espn
12,11470,11562,201,0,5,0.444,15,0.808,71,3,2016-02-25,400831344,-16.5,thursday,197,0,21,139,02:00,49,espnu
22,16540,16540,251,0,10,0.815,5,0.643,76,3,2016-02-27,400831552,2.5,saturday,201,25,18,146,19:00,63,cbs
21,11563,11562,201,0,6,0.724,8,0.786,73,19,2016-03-02,400831556,-7.5,wednesday,239,6,22,149,01:00,71,espn2
23,6532,6800,2628,0,19,0.793,6,0.367,67,6,2016-03-05,400831558,13.0,saturday,201,0,11,145,18:00,75,espnn
