away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
1,9288,11562,201,0,0,1.0,0,1.0,95,0,2013-11-12,400498242,0,tuesday,249,0,1,,01:00,82,
1,9445,11562,201,0,0,1.0,0,1.0,85,0,2013-11-14,400498249,0,thursday,70,0,2,,01:00,65,
1,10921,11562,201,0,0,0.2,4,1.0,101,0,2013-11-29,400498278,0,friday,2031,0,5,,20:00,81,
5,9363,11562,201,0,1,0.625,3,0.833,96,0,2013-12-03,400498285,0,tuesday,2382,0,5,,02:00,82,espnu
3,2300,11562,201,0,1,0.333,6,0.857,78,0,2013-12-05,400498290,0,thursday,357,0,6,,20:00,56,
2,10763,11562,201,0,0,0.222,7,1.0,101,0,2013-12-14,400498302,0,saturday,202,0,9,,22:00,91,
4,3105,11562,201,0,1,0.4,6,0.9,91,0,2013-12-18,400498309,0,wednesday,250,0,9,,01:00,89,
11,10903,11562,201,0,2,0.846,2,0.833,98,0,2013-12-31,400498329,0,tuesday,2348,0,10,,01:00,102,
11,10189,16540,251,0,2,0.846,2,0.846,85,0,2014-01-05,400498340,0,sunday,201,0,11,,01:00,88,lhn
9,13127,11562,201,0,2,0.692,4,0.857,83,18,2014-01-09,400498344,0,thursday,2305,0,12,,00:00,90,espn2
14,11105,11562,201,0,3,1.0,0,0.8,87,9,2014-01-11,400498346,0,saturday,66,0,12,,17:00,82,espnu
13,12250,12528,2306,0,4,0.813,3,0.75,72,25,2014-01-15,400498353,0,wednesday,201,0,12,,00:00,66,espn2
13,8544,10284,239,0,3,0.765,4,0.813,64,25,2014-01-18,400507018,0,saturday,201,12,13,,19:00,66,espn
9,9854,11562,201,0,4,0.529,8,0.778,77,25,2014-01-23,400498364,0,thursday,2628,0,14,,02:00,69,espnu
15,9317,15098,2641,0,9,0.789,4,0.526,65,25,2014-01-25,400498368,0,saturday,201,0,10,,21:00,74,espn3
16,13093,11562,201,0,4,0.842,3,0.8,88,8,2014-01-28,400498370,0,tuesday,197,23,16,,02:00,76,espn
17,14384,14356,66,0,4,0.81,4,0.789,81,23,2014-02-01,400498377,0,saturday,201,16,15,,21:00,75,espn3
17,7538,14000,277,0,9,0.773,5,0.591,91,21,2014-02-06,400498382,0,thursday,201,0,13,,00:00,86,espnu
14,13112,11562,201,0,6,0.636,8,0.739,88,21,2014-02-09,400507024,0,sunday,239,0,17,,00:00,72,espn2
12,9956,11562,201,0,6,0.522,11,0.75,60,0,2014-02-13,400498392,0,thursday,2641,0,18,,01:00,68,espn3
18,10070,13611,197,0,8,0.72,7,0.667,74,0,2014-02-15,400498394,0,saturday,201,0,16,,19:00,77,espn2
18,12925,11562,201,0,7,0.692,8,0.731,86,0,2014-02-22,400498405,0,saturday,2306,0,19,,21:00,73,espn3
20,16300,16300,2305,0,6,0.741,7,0.778,83,5,2014-02-25,400498408,0,tuesday,201,0,21,,02:05,75,espn
21,12976,11562,201,0,8,0.75,7,0.714,77,24,2014-03-01,400498413,0,saturday,251,0,20,,21:00,65,espn3
16,10674,11562,201,0,8,0.552,13,0.724,72,23,2014-03-06,400498420,0,thursday,277,0,21,,02:00,62,espnu
22,4878,6800,2628,0,20,0.733,8,0.31,67,23,2014-03-08,400498425,0,saturday,201,0,9,,21:00,97,espn3
0,9626,11562,201,1,0,0.0,1,0.0,78,19,2014-11-16,400585676,0,sunday,2545,0,0,,20:00,53,
1,17393,15500,156,0,0,1.0,0,1.0,65,18,2014-11-20,400585687,0,thursday,201,0,2,,01:00,63,fs1
2,10056,11562,201,0,1,0.667,1,0.5,90,18,2014-11-23,400585695,0,sunday,2466,0,1,,20:00,68,
4,11652,11562,201,0,2,0.571,3,0.667,82,22,2014-12-06,400585725,0,saturday,142,0,4,,02:30,63,espnu
5,6885,8355,202,0,4,0.714,2,0.556,68,16,2014-12-13,400585736,0,saturday,201,0,5,,19:30,87,cbssn
4,9713,11562,201,0,2,0.5,4,0.75,85,15,2014-12-17,400585745,0,wednesday,198,0,6,,00:00,53,espnu
4,10645,11562,201,0,3,0.444,5,0.7,85,19,2014-12-23,400585987,0,tuesday,2692,0,7,,01:00,51,
5,10597,11562,201,0,3,0.455,6,0.727,61,18,2014-12-31,400585775,0,wednesday,2244,0,8,,22:00,43,
11,12322,11562,201,0,3,0.917,1,0.75,73,22,2015-01-03,400585779,0,saturday,239,18,9,,21:00,63,espnu
10,12625,16540,251,0,2,0.769,3,0.857,49,16,2015-01-06,400585784,0,tuesday,201,10,12,,02:00,70,espn
8,12426,11562,201,0,3,0.533,7,0.786,63,16,2015-01-11,400585791,0,sunday,2306,0,11,,00:00,66,espnu
11,9196,14000,277,0,2,0.733,4,0.875,86,18,2015-01-14,400585794,0,wednesday,201,16,14,,00:00,65,espnn
12,12730,11562,201,0,5,0.75,4,0.688,82,24,2015-01-18,400585801,0,sunday,197,18,11,,00:00,65,espn2
12,16300,16300,2305,0,3,0.706,5,0.824,85,19,2015-01-20,400585803,0,tuesday,201,11,14,,02:00,78,espn
12,8753,10284,239,0,4,0.667,6,0.778,69,19,2015-01-24,400585811,0,saturday,201,21,14,,23:00,58,espn2
11,9857,11562,201,0,7,0.55,9,0.632,81,24,2015-01-29,400585815,0,thursday,2641,0,12,,00:30,36,espnn
13,13611,13611,197,0,6,0.65,7,0.7,56,24,2015-02-01,400585821,0,sunday,201,0,14,,01:00,64,espn2
18,10154,11562,201,0,7,0.857,3,0.667,71,15,2015-02-04,400585823,0,wednesday,277,21,14,,01:00,52,espn2
15,4500,4750,2628,0,8,0.682,7,0.636,56,21,2015-02-07,400585830,0,saturday,201,0,14,,20:00,68,espnn
17,11099,11562,201,0,7,0.773,5,0.696,94,14,2015-02-10,400585833,0,tuesday,66,17,16,,02:00,83,espn
17,12528,12528,2306,0,13,0.708,7,0.48,59,17,2015-02-15,400585841,0,sunday,201,0,12,,01:00,56,espn2
17,11413,11562,201,0,8,0.68,8,0.68,71,17,2015-02-18,400585844,0,wednesday,251,0,17,,02:00,69,espn2
18,6761,15098,2641,0,15,0.692,8,0.444,75,17,2015-02-21,400585847,0,saturday,201,0,12,,17:00,79,espnn
17,5091,11562,201,0,8,0.607,11,0.704,67,16,2015-02-28,400585856,0,saturday,2628,0,19,,19:00,60,espnu
20,14384,14356,66,0,8,0.714,8,0.714,77,15,2015-03-03,400585862,0,tuesday,201,17,20,,02:00,70,espn
24,12104,11562,201,0,9,0.8,6,0.69,75,9,2015-03-07,400585868,0,saturday,2305,15,20,,21:00,73,espn
0,12688,18119,235,0,0,0.0,0,1.0,78,8,2015-11-17,400816810,4.0,tuesday,201,0,1,150,22:00,84,espn
0,8364,11562,201,0,0,0.0,2,1.0,85,8,2015-11-21,400816970,0,saturday,2377,0,1,,01:00,56,
2,11562,,201,0,0,0.667,1,1.0,96,7,2015-11-25,400816971,0,wednesday,2916,0,2,,01:00,63,
4,11562,,201,0,0,0.667,2,1.0,65,7,2015-11-29,400816972,0,sunday,275,0,3,,19:30,48,espn2
0,7109,11562,201,0,-1,0.0,6,1.25,111,6,2015-12-04,400816973,-29.5,friday,2110,0,5,160,01:00,68,
8,9421,11562,201,0,0,0.8,2,1.0,96,7,2015-12-12,400816974,-20.0,saturday,198,0,6,153,19:00,73,
7,9528,11562,201,0,0,0.7,3,1.0,87,3,2015-12-19,400816975,-14.0,saturday,156,0,7,159,19:00,74,espnu
9,10300,,62,0,1,1.0,0,0.889,81,3,2015-12-24,400858188,6.5,thursday,201,0,8,151,02:00,84,espn2
11,11562,,201,0,0,0.917,1,1.0,87,11,2016-01-03,400831505,-6.5,sunday,66,3,11,163,00:00,83,espn2
12,16300,16300,2305,0,1,1.0,0,0.923,109,2,2016-01-05,400831507,-7.5,tuesday,201,1,12,159,02:00,106,espn
10,11113,11562,201,0,1,0.714,4,0.923,86,2,2016-01-09,400831513,-12.5,saturday,2306,0,12,143,21:30,76,espnn
13,9380,13611,197,0,6,0.929,1,0.6,72,2,2016-01-14,400831333,8.0,thursday,201,0,9,147,02:00,74,espnu
15,11562,,201,0,1,0.938,1,0.933,70,11,2016-01-16,400830917,-4.5,saturday,277,2,14,160,21:00,68,espn2
15,14384,14356,66,0,4,0.938,1,0.765,82,1,2016-01-19,400831521,-2.0,tuesday,201,19,13,170,02:00,77,espn
15,10206,10284,239,0,3,0.882,2,0.833,72,1,2016-01-23,400831523,-1.0,saturday,201,13,15,150,17:00,82,espn
12,11562,,201,0,2,0.667,6,0.889,91,1,2016-01-27,400831527,-12.5,wednesday,2641,0,16,150,00:00,67,espn2
17,13882,13215,99,0,7,0.895,2,0.65,75,1,2016-01-30,400809419,3.0,saturday,201,0,13,165,22:00,77,espn
10,11562,,201,0,2,0.476,11,0.9,95,1,2016-02-03,400831530,-20.0,wednesday,2628,0,18,146,01:00,72,espnn
19,12528,12528,2306,0,9,0.905,2,0.591,80,1,2016-02-06,400831534,5.5,saturday,201,0,13,149,23:00,69,espnu
16,11562,,201,0,3,0.696,7,0.864,63,24,2016-02-09,400831536,-7.5,tuesday,251,3,19,147,02:00,60,espn
20,12247,11562,201,0,3,0.833,4,0.87,72,6,2016-02-13,400831539,-3.5,saturday,2305,3,20,156,19:30,76,espn
20,14471,15098,2641,0,9,0.833,4,0.625,65,3,2016-02-18,400831543,4.0,thursday,201,0,15,148,02:00,63,espnu
20,15289,14000,277,0,6,0.8,5,0.769,62,3,2016-02-20,400830926,-4.0,saturday,201,10,20,153,21:00,76,espn
