away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,6125,13611,197,1,0,0.0,0,0.0,83,0,2014-11-15,400585669,0,saturday,2545,0,0,,01:00,55,
0,5407,13611,197,0,0,0.0,1,1.0,74,0,2014-11-16,400585677,0,sunday,2504,0,1,,20:00,52,
1,5909,13611,197,0,0,0.333,2,1.0,82,0,2014-11-22,400585691,0,saturday,270,0,3,,01:00,68,
4,6086,13611,197,0,0,0.667,2,1.0,87,0,2014-12-04,400585717,0,thursday,249,0,6,,01:00,61,
7,12007,18000,2579,0,3,1.0,0,0.571,75,0,2014-12-06,400585726,0,saturday,197,0,4,,17:00,49,espnu
7,14501,18119,235,0,3,0.875,1,0.5,55,0,2014-12-13,400585738,0,saturday,197,0,3,,23:00,73,espn2
5,5217,13611,197,0,1,0.556,4,0.889,68,0,2014-12-17,400585746,0,wednesday,2393,0,8,,02:00,44,espnu
10,13611,,197,0,1,0.909,1,0.9,64,17,2014-12-21,400585758,0,sunday,120,0,9,,19:00,73,espnu
7,13611,,197,0,2,0.538,6,0.833,61,0,2015-01-03,400585777,0,saturday,2306,0,10,,17:00,47,espnu
11,14384,14356,66,0,2,0.846,2,0.833,63,17,2015-01-07,400585785,0,wednesday,197,0,10,,02:00,61,espn2
12,9592,13611,197,0,3,0.8,3,0.786,69,10,2015-01-10,400585790,0,saturday,251,0,11,,22:00,58,espnu
12,16300,16300,2305,0,2,0.8,3,0.867,67,24,2015-01-14,400585793,0,wednesday,197,9,13,,00:00,57,espn2
12,12730,11562,201,0,5,0.75,4,0.688,82,24,2015-01-18,400585801,0,sunday,197,18,11,,00:00,65,espn2
10,7090,13611,197,0,5,0.556,8,0.706,63,0,2015-01-22,400585805,0,thursday,2641,0,12,,02:00,43,espnu
13,12528,12528,2306,0,8,0.722,5,0.579,63,0,2015-01-24,400585807,0,saturday,197,0,11,,17:00,53,espn2
15,7364,13611,197,0,6,0.789,4,0.684,64,20,2015-01-28,400585814,0,wednesday,239,0,13,,02:00,53,espnn
13,13611,13611,197,0,6,0.65,7,0.7,56,24,2015-02-01,400585821,0,sunday,201,0,14,,01:00,64,espn2
14,11954,16540,251,0,7,0.667,7,0.667,63,25,2015-02-05,400585824,0,thursday,197,0,14,,01:00,65,lhn
19,10399,13611,197,0,7,0.864,3,0.682,67,8,2015-02-07,400585829,0,saturday,2305,0,15,,19:00,62,espn
16,6720,10284,239,0,5,0.696,7,0.783,65,21,2015-02-10,400585832,0,tuesday,197,16,18,,00:00,74,espnu
17,4266,4750,2628,0,10,0.708,7,0.583,70,21,2015-02-14,400585839,0,saturday,197,0,14,,23:00,55,espnu
18,7612,13611,197,0,8,0.75,6,0.68,65,14,2015-02-19,400585845,0,thursday,66,22,17,,02:00,70,espnu
20,8610,13611,197,0,9,0.769,6,0.654,63,23,2015-02-21,400585850,0,saturday,277,22,17,,19:00,73,espnn
17,7480,15098,2641,0,17,0.63,10,0.414,63,0,2015-02-28,400585857,0,saturday,197,0,12,,21:00,62,espnn
17,5526,13611,197,0,11,0.586,12,0.607,82,0,2015-03-05,400585864,0,thursday,2628,0,17,,02:00,70,espnu
18,13714,14000,277,0,8,0.621,11,0.733,81,20,2015-03-07,400585866,0,saturday,197,0,22,,19:00,72,espnn
