away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
1,9477,12993,2507,1,0,1.0,0,0.0,76,0,2015-11-15,400827765,-10.0,sunday,108,0,0,,00:00,64,
1,8069,12993,2507,0,0,0.5,1,1.0,60,0,2015-11-19,400809395,-7.5,thursday,356,0,1,151,00:00,59,fs1
1,8706,12993,2507,0,0,0.333,2,1.0,94,0,2015-11-22,400817363,-14.5,sunday,225,0,2,,00:00,73,
3,5009,12993,2507,0,0,0.75,1,1.0,83,0,2015-11-23,400827697,-12.5,monday,2885,0,3,,23:30,76,
3,5169,12993,2507,0,1,0.429,4,0.857,89,23,2015-12-03,400827472,0,thursday,42,0,6,,00:00,66,
7,7678,7657,227,0,2,0.875,1,0.714,72,23,2015-12-06,400825763,-3.0,sunday,2507,0,5,136,00:00,74,espnu
3,8425,12993,2507,0,1,0.375,5,0.889,66,15,2015-12-10,400817629,-14.0,thursday,103,0,8,140,00:00,51,
2,7369,12993,2507,0,1,0.2,8,0.9,74,15,2015-12-12,400827766,-18.5,saturday,2803,0,9,,17:00,67,
2,7852,12993,2507,0,1,0.2,8,0.909,73,14,2015-12-20,400827767,-12.0,sunday,2520,0,10,133,01:00,65,fsn
11,4411,9493,113,0,4,0.917,1,0.6,66,10,2015-12-22,400827768,5.0,tuesday,2507,0,6,151,00:00,90,cbssn
12,9100,9100,2086,0,1,0.923,1,0.917,73,12,2015-12-31,400840201,-8.0,thursday,2507,9,11,151,19:30,81,cbssn
7,12410,12993,2507,0,1,0.5,7,0.929,83,12,2016-01-02,400840297,-16.5,saturday,2599,0,13,141,20:30,65,fs1
10,10446,12993,2507,0,1,0.714,4,0.933,64,8,2016-01-06,400840285,-9.5,wednesday,269,0,14,151,00:00,65,fs1
14,17073,15500,156,0,5,0.875,2,0.706,48,12,2016-01-13,400840223,-2.5,wednesday,2507,0,12,153,01:30,50,fs1
12,11148,12993,2507,0,2,0.75,4,0.882,72,12,2016-01-16,400840298,-5.5,saturday,2550,0,15,141,21:30,81,fs1
13,10918,12993,2507,0,3,0.765,4,0.833,71,18,2016-01-19,400840206,1.0,tuesday,2086,16,15,149,23:30,68,fs1
16,7191,,222,0,2,0.842,3,0.895,76,16,2016-01-24,400861696,-12.5,sunday,2507,4,17,138,18:00,82,fox
17,12804,12993,2507,0,3,0.895,2,0.85,68,7,2016-01-27,400840300,1.5,wednesday,2752,10,17,150,01:30,75,fs1
17,14481,20278,46,0,8,0.81,4,0.619,69,10,2016-01-31,400840265,-3.0,sunday,2507,0,13,139,01:00,73,fs1
18,5114,17500,305,0,14,0.818,4,0.333,77,11,2016-02-03,400840242,8.0,wednesday,2507,0,7,140,02:00,70,fs1
19,12883,12993,2507,0,5,0.864,3,0.783,60,3,2016-02-06,400840301,4.5,saturday,222,11,18,138,19:30,72,fs1
18,14616,18717,269,0,9,0.75,6,0.625,96,20,2016-02-11,400840292,1.0,thursday,2507,0,15,145,00:00,91,cbssn
14,12582,12993,2507,0,7,0.56,11,0.72,75,20,2016-02-13,400840268,-4.0,saturday,46,0,18,143,17:00,72,fox
19,10336,10250,2752,0,3,0.731,7,0.88,85,23,2016-02-18,400840302,-9.0,thursday,2507,8,22,150,00:00,74,fs1
19,8600,18711,2550,0,7,0.704,8,0.731,70,0,2016-02-26,400840303,-5.0,friday,2507,0,19,144,00:00,52,fs1
9,12435,12993,2507,0,9,0.333,18,0.679,87,0,2016-02-27,400840247,-11.5,saturday,305,0,19,143,21:00,66,cbssn
18,9252,12993,2507,0,9,0.621,11,0.69,70,0,2016-03-03,400840233,-3.5,thursday,156,0,20,146,02:00,66,cbssn
21,10079,19812,2599,0,22,0.7,9,0.267,76,0,2016-03-05,400840304,8.5,saturday,2507,0,8,145,17:30,90,fs1
