away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,4677,5602,2599,1,0,0.0,0,0.0,66,0,2015-11-13,400840317,-12.5,friday,2681,0,0,,23:00,57,fs1
0,4098,5602,2599,0,0,0.0,1,1.0,75,0,2015-11-17,400840080,0,tuesday,2378,0,1,,00:00,53,fs1
2,4540,5602,2599,0,0,1.0,0,1.0,61,0,2015-11-20,400809398,-7.0,friday,164,0,2,,00:00,59,fs1
4,3068,3200,2230,0,1,0.667,2,0.8,73,0,2015-12-03,400840318,-6.5,thursday,2599,0,4,137,00:00,57,
3,7196,19812,2599,0,3,0.429,4,0.571,63,0,2015-12-06,400840319,-7.0,sunday,2597,0,4,131,16:00,56,fs1
3,5602,5602,2599,0,3,0.333,6,0.625,48,0,2015-12-09,400817368,-9.5,wednesday,315,0,5,135,22:00,44,fs1
7,13473,19812,2599,0,3,0.778,2,0.667,84,0,2015-12-13,400839190,10.0,sunday,183,0,6,129,17:00,72,fs1
3,4120,5602,2599,0,3,0.375,5,0.7,51,0,2015-12-19,400816952,-8.5,saturday,2916,0,7,142,00:00,73,fs1
6,4414,5602,2599,0,4,0.545,5,0.636,74,0,2015-12-20,400827703,-1.5,sunday,2885,0,7,138,17:00,83,fs1
9,4633,5602,2599,0,6,0.692,4,0.538,70,0,2015-12-31,400840219,8.0,thursday,156,0,7,149,19:15,80,fs1
7,12410,12993,2507,0,1,0.5,7,0.929,83,12,2016-01-02,400840297,-16.5,saturday,2599,0,13,141,20:30,65,fs1
13,4168,5602,2599,0,8,0.929,1,0.467,66,10,2016-01-07,400840320,15.0,thursday,2752,0,7,143,02:00,74,fs1
7,13468,18717,269,0,4,0.438,9,0.733,81,0,2016-01-09,400840286,-12.0,saturday,2599,0,11,141,19:00,75,fsn
10,7837,19812,2599,0,10,0.625,6,0.412,73,0,2016-01-13,400840262,8.5,wednesday,46,0,7,139,23:30,93,fs1
7,9144,9100,2086,0,4,0.389,11,0.75,78,23,2016-01-16,400840205,-19.5,saturday,2599,0,12,147,17:00,58,fs1
12,1032,5602,2599,0,12,0.632,7,0.368,73,0,2016-01-24,400862729,5.0,sunday,269,0,7,142,20:45,78,
7,6767,18711,2550,0,6,0.35,13,0.684,79,0,2016-01-28,400840312,-15.5,thursday,2599,0,13,147,00:00,60,fs1
17,12713,19812,2599,0,14,0.85,3,0.333,53,6,2016-01-31,400840321,20.0,sunday,222,0,7,141,17:00,68,fox
7,10250,10250,2752,0,2,0.318,15,0.905,90,6,2016-02-03,400840322,-21.5,wednesday,2599,0,19,150,23:30,83,fs1
15,5602,5602,2599,0,16,0.682,7,0.304,56,0,2016-02-06,400840211,11.0,saturday,2086,0,7,149,21:30,89,fsn
7,5369,20278,46,0,11,0.292,17,0.542,92,0,2016-02-09,400840267,-15.0,tuesday,2599,0,13,144,00:00,67,fs1
7,18052,,222,0,3,0.28,18,0.875,73,1,2016-02-14,400840323,-27.0,sunday,2599,0,21,144,01:00,63,cbssn
8,5010,5602,2599,0,19,0.333,16,0.269,80,0,2016-02-18,400840244,2.0,thursday,305,0,7,144,01:00,65,cbssn
18,13204,19812,2599,0,19,0.72,7,0.296,61,0,2016-02-21,400840313,10.5,sunday,2550,0,8,147,17:00,62,fs1
8,4817,17500,305,0,18,0.286,20,0.308,83,0,2016-02-26,400840246,-5.0,friday,2599,0,8,142,02:00,75,fs1
7,17351,15500,156,0,10,0.241,22,0.643,100,0,2016-02-28,400840232,-15.0,sunday,2599,0,18,149,19:30,59,fs1
21,10079,19812,2599,0,22,0.7,9,0.267,76,0,2016-03-05,400840304,8.5,saturday,2507,0,8,145,17:30,90,fs1
