away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,4703,5602,2599,1,0,0.0,0,0.0,77,0,2014-11-15,400588485,0,saturday,2885,0,0,,00:00,58,
0,3733,5602,2599,0,0,0.0,0,1.0,66,0,2014-11-20,400588335,0,thursday,2341,0,2,,00:30,53,
1,4475,19812,2599,0,1,0.25,3,0.8,70,0,2014-12-03,400586160,-18.5,wednesday,315,0,4,,00:00,57,fs1
5,24884,,183,0,2,0.833,1,0.714,57,0,2014-12-06,400587828,-8.0,saturday,2599,0,5,,22:15,69,espn2
3,4528,5602,2599,0,1,0.429,4,0.857,74,24,2014-12-11,400588367,-17.0,thursday,161,0,6,,01:00,52,cbssn
3,8074,19812,2599,0,1,0.429,4,0.875,74,24,2014-12-14,400588372,-18.0,sunday,2230,0,7,,19:30,53,fs1
6,4645,5602,2599,0,1,0.75,2,0.889,53,20,2014-12-20,400587267,-7.5,saturday,2608,0,8,,00:00,47,fs1
5,5014,19812,2599,0,1,0.417,7,0.9,66,17,2014-12-23,400588386,-8.5,tuesday,299,0,9,,00:30,49,cbssn
11,9183,18711,2550,0,2,0.917,1,0.833,78,15,2014-12-31,400588394,1.0,wednesday,2599,0,10,,17:00,67,fs1
10,5602,5602,2599,0,2,0.714,4,0.846,69,15,2015-01-03,400588403,-5.0,saturday,2086,0,11,,21:00,73,cbssn
13,8565,19812,2599,0,3,0.929,1,0.786,72,8,2015-01-07,400588406,2.5,wednesday,222,24,11,,02:00,90,fs1
11,8176,12993,2507,0,4,0.733,4,0.765,70,0,2015-01-15,400588415,-2.5,thursday,2599,0,13,,00:00,83,fs1
12,6243,17500,305,0,9,0.75,4,0.5,71,0,2015-01-18,400588422,7.0,sunday,2599,0,9,,19:30,67,fs1
10,19812,,2599,0,5,0.588,7,0.706,60,0,2015-01-22,400588424,-6.5,thursday,269,0,12,,00:00,57,fs1
16,19812,19812,2599,0,5,0.889,2,0.722,68,5,2015-01-25,400587943,6.0,sunday,150,0,13,,19:00,77,fox
13,16544,15500,156,0,12,0.684,6,0.429,77,0,2015-01-29,400588435,0,thursday,2599,0,9,,02:01,74,fs1
16,8973,19812,2599,0,7,0.762,5,0.65,75,0,2015-01-31,400588436,-3.0,saturday,2507,0,13,,17:00,66,fox
14,7132,9100,2086,0,6,0.667,7,0.727,85,22,2015-02-04,400588441,-6.5,wednesday,2599,0,16,,00:00,62,fs1
11,10759,19812,2599,0,8,0.458,13,0.636,84,0,2015-02-07,400588446,-8.5,saturday,156,0,14,,17:00,66,
12,5040,5602,2599,0,8,0.48,13,0.652,86,0,2015-02-12,400588454,-9.5,thursday,305,0,15,,02:00,78,cbssn
16,10250,10250,2752,0,9,0.667,8,0.64,70,0,2015-02-14,400588456,-8.0,saturday,2599,0,16,,17:30,78,
17,8685,20278,46,0,8,0.68,8,0.667,79,0,2015-02-18,400588461,-7.5,wednesday,2599,0,16,,00:00,57,fs1
15,5602,5602,2599,0,9,0.577,11,0.654,85,0,2015-02-21,400588465,-7.5,saturday,2550,0,17,,17:00,72,fs1
18,6634,19812,2599,0,9,0.643,10,0.667,58,0,2015-02-24,400588467,-1.0,tuesday,2752,0,18,,01:00,57,fs1
18,13615,19812,2599,0,9,0.692,8,0.679,81,0,2015-02-28,400588471,0,saturday,46,0,19,,17:00,70,cbs
20,14201,18717,269,0,17,0.69,9,0.393,51,0,2015-03-05,400588479,1.0,thursday,2599,0,11,,02:00,67,fs1
20,19161,,222,0,1,0.667,10,0.967,105,4,2015-03-07,400588482,-12.0,saturday,2599,0,29,,19:00,68,fox
0,4677,5602,2599,1,0,0.0,0,0.0,66,0,2015-11-13,400840317,-12.5,friday,2681,0,0,,23:00,57,fs1
0,4098,5602,2599,0,0,0.0,1,1.0,75,0,2015-11-17,400840080,0,tuesday,2378,0,1,,00:00,53,fs1
2,4540,5602,2599,0,0,1.0,0,1.0,61,0,2015-11-20,400809398,-7.0,friday,164,0,2,,00:00,59,fs1
4,3068,3200,2230,0,1,0.667,2,0.8,73,0,2015-12-03,400840318,-6.5,thursday,2599,0,4,137,00:00,57,
3,7196,19812,2599,0,3,0.429,4,0.571,63,0,2015-12-06,400840319,-7.0,sunday,2597,0,4,131,16:00,56,fs1
3,5602,5602,2599,0,3,0.333,6,0.625,48,0,2015-12-09,400817368,-9.5,wednesday,315,0,5,135,22:00,44,fs1
7,13473,19812,2599,0,3,0.778,2,0.667,84,0,2015-12-13,400839190,10.0,sunday,183,0,6,129,17:00,72,fs1
3,4120,5602,2599,0,3,0.375,5,0.7,51,0,2015-12-19,400816952,-8.5,saturday,2916,0,7,142,00:00,73,fs1
6,4414,5602,2599,0,4,0.545,5,0.636,74,0,2015-12-20,400827703,-1.5,sunday,2885,0,7,138,17:00,83,fs1
9,4633,5602,2599,0,6,0.692,4,0.538,70,0,2015-12-31,400840219,8.0,thursday,156,0,7,149,19:15,80,fs1
7,12410,12993,2507,0,1,0.5,7,0.929,83,12,2016-01-02,400840297,-16.5,saturday,2599,0,13,141,20:30,65,fs1
13,4168,5602,2599,0,8,0.929,1,0.467,66,10,2016-01-07,400840320,15.0,thursday,2752,0,7,143,02:00,74,fs1
7,13468,18717,269,0,4,0.438,9,0.733,81,0,2016-01-09,400840286,-12.0,saturday,2599,0,11,141,19:00,75,fsn
10,7837,19812,2599,0,10,0.625,6,0.412,73,0,2016-01-13,400840262,8.5,wednesday,46,0,7,139,23:30,93,fs1
7,9144,9100,2086,0,4,0.389,11,0.75,78,23,2016-01-16,400840205,-19.5,saturday,2599,0,12,147,17:00,58,fs1
12,1032,5602,2599,0,12,0.632,7,0.368,73,0,2016-01-24,400862729,5.0,sunday,269,0,7,142,20:45,78,
7,6767,18711,2550,0,6,0.35,13,0.684,79,0,2016-01-28,400840312,-15.5,thursday,2599,0,13,147,00:00,60,fs1
17,12713,19812,2599,0,14,0.85,3,0.333,53,6,2016-01-31,400840321,20.0,sunday,222,0,7,141,17:00,68,fox
7,10250,10250,2752,0,2,0.318,15,0.905,90,6,2016-02-03,400840322,-21.5,wednesday,2599,0,19,150,23:30,83,fs1
15,5602,5602,2599,0,16,0.682,7,0.304,56,0,2016-02-06,400840211,11.0,saturday,2086,0,7,149,21:30,89,fsn
7,5369,20278,46,0,11,0.292,17,0.542,92,0,2016-02-09,400840267,-15.0,tuesday,2599,0,13,144,00:00,67,fs1
7,18052,,222,0,3,0.28,18,0.875,73,1,2016-02-14,400840323,-27.0,sunday,2599,0,21,144,01:00,63,cbssn
8,5010,5602,2599,0,19,0.333,16,0.269,80,0,2016-02-18,400840244,2.0,thursday,305,0,7,144,01:00,65,cbssn
18,13204,19812,2599,0,19,0.72,7,0.296,61,0,2016-02-21,400840313,10.5,sunday,2550,0,8,147,17:00,62,fs1
8,4817,17500,305,0,18,0.286,20,0.308,83,0,2016-02-26,400840246,-5.0,friday,2599,0,8,142,02:00,75,fs1
7,17351,15500,156,0,10,0.241,22,0.643,100,0,2016-02-28,400840232,-15.0,sunday,2599,0,18,149,19:30,59,fs1
21,10079,19812,2599,0,22,0.7,9,0.267,76,0,2016-03-05,400840304,8.5,saturday,2507,0,8,145,17:30,90,fs1
