away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,4341,6800,2628,1,0,0.0,0,0.0,90,0,2015-11-14,400823408,0,saturday,2545,0,0,,02:30,77,
1,4233,6800,2628,0,0,0.5,1,1.0,90,0,2015-11-20,400809209,0,friday,2277,0,1,,01:00,63,
3,4193,6800,2628,0,0,1.0,0,1.0,67,0,2015-11-21,400827741,0,saturday,2571,0,2,,19:00,76,
4,4672,6800,2628,0,2,1.0,0,0.6,70,22,2015-12-03,400827742,6.5,thursday,2567,0,3,139,01:00,75,
2,4296,6800,2628,0,3,0.333,4,0.5,76,0,2015-12-06,400827743,0,sunday,2142,0,3,,01:00,49,
4,5651,10000,264,0,2,0.571,3,0.714,92,0,2015-12-09,400827744,-6.0,wednesday,2628,0,5,151,04:00,67,pac12
0,4658,6800,2628,0,4,0.0,7,0.5,73,0,2015-12-12,400827745,0,saturday,2504,0,4,,01:00,55,
4,5791,6800,2628,0,4,0.4,6,0.556,80,0,2015-12-20,400827746,0,sunday,2000,0,5,,19:00,69,
6,5560,11100,71,0,10,0.6,4,0.167,49,0,2015-12-24,400814189,10.5,thursday,2628,0,2,129,01:00,53,espn3
0,5024,6800,2628,0,4,0.0,12,0.636,75,0,2015-12-29,400827747,0,tuesday,2169,0,7,,01:00,47,
8,5191,13611,197,0,4,0.667,4,0.667,69,0,2016-01-02,400831331,-5.5,saturday,2628,0,8,131,21:00,48,espnn
12,4739,6800,2628,0,5,0.923,1,0.615,87,17,2016-01-05,400830914,10.5,tuesday,277,0,8,142,00:00,95,espn2
9,6673,6800,2628,0,6,0.643,5,0.571,58,0,2016-01-10,400831511,3.0,sunday,251,0,8,141,00:00,57,espnu
9,5764,10284,239,0,3,0.6,6,0.8,82,22,2016-01-14,400831516,-12.5,thursday,2628,0,12,143,01:15,54,espnn
9,16300,16300,2305,0,2,0.563,7,0.875,70,1,2016-01-16,400831517,-23.0,saturday,2628,0,14,148,19:00,63,espn
11,5905,6800,2628,0,8,0.688,5,0.529,69,0,2016-01-19,400831520,3.5,tuesday,2641,0,9,134,00:00,76,espnu
14,6014,6800,2628,0,9,0.778,4,0.5,60,19,2016-01-23,400831525,9.0,saturday,66,0,9,153,21:00,73,espnu
9,11282,16540,251,0,7,0.474,10,0.632,71,0,2016-01-27,400831528,-11.5,wednesday,2628,0,12,135,01:00,54,lhn
10,5761,6800,2628,0,11,0.5,10,0.45,75,0,2016-01-30,400809421,2.5,saturday,2633,0,9,145,19:00,63,espn2
10,11562,,201,0,2,0.476,11,0.9,95,1,2016-02-03,400831530,-20.0,wednesday,2628,0,18,146,01:00,72,espnn
18,6516,6800,2628,0,12,0.818,4,0.455,56,7,2016-02-06,400831533,12.5,saturday,2305,0,10,145,17:00,75,espn
11,4957,6800,2628,0,13,0.478,12,0.435,63,0,2016-02-09,400831340,2.0,tuesday,197,0,10,129,00:00,56,espnu
11,13137,14000,277,0,5,0.458,13,0.792,73,10,2016-02-13,400830924,-18.0,saturday,2628,0,19,144,17:00,42,espnu
14,4999,6800,2628,0,14,0.56,11,0.44,49,0,2016-02-17,400845094,4.5,wednesday,2306,0,11,134,01:00,63,espnn
11,14384,14356,66,0,8,0.423,15,0.692,92,13,2016-02-21,400831547,-17.5,sunday,2628,0,18,146,00:30,83,espnu
11,10023,15098,2641,0,9,0.407,16,0.654,83,0,2016-02-24,400831550,-11.5,wednesday,2628,0,17,134,02:00,79,espnn
20,6364,6800,2628,0,17,0.714,8,0.393,71,19,2016-02-28,400831554,9.0,sunday,239,0,11,143,01:00,86,espnu
11,11518,12528,2306,0,14,0.379,18,0.517,79,0,2016-03-03,400831557,-11.0,thursday,2628,0,15,135,01:00,54,espn3
23,6532,6800,2628,0,19,0.793,6,0.367,67,6,2016-03-05,400831558,13.0,saturday,201,0,11,145,18:00,75,espnn
