school,url_name,id,conf
albany,albany-great-danes,399,america_east
binghamton,binghamton-bearcats,2066,america_east
hartford,hartford-hawks,42,america_east
maine,maine-black-bears,311,america_east
unh,new-hampshire-wildcats,160,america_east
stony_brook,stony-brook-seawolves,2619,america_east
umass_lowell,umass-lowell-river-hawks,2349,america_east
umbc,umbc-retrievers,2378,america_east
vermont,vermont-catamounts,261,america_east
cincinnati,cincinnati-bearcats,2132,american
uconn,connecticut-huskies,41,american
ecu,east-carolina-pirates,151,american
houston,houston-cougars,248,american
memphis,memphis-tigers,235,american
smu,smu-mustangs,2567,american
usf,south-florida-bulls,58,american
temple,temple-owls,218,american
tulane,tulane-green-wave,2655,american
tulsa,tulsa-golden-hurricane,202,american
ucf,ucf-knights,2116,american
davidson,davidson-wildcats,2166,atlantic_10
dayton,dayton-flyers,2168,atlantic_10
duquesne,duquesne-dukes,2184,atlantic_10
fordham,fordham-rams,2230,atlantic_10
george_mason,george-mason-patriots,2244,atlantic_10
g_washington,george-washington-colonials,45,atlantic_10
la_salle,la-salle-explorers,2325,atlantic_10
umass,massachusetts-minutemen,113,atlantic_10
uri,rhode-island-rams,227,atlantic_10
richmond,richmond-spiders,257,atlantic_10
saint_joe's,saint-joseph's-hawks,2603,atlantic_10
saint_louis,saint-louis-billikens,139,atlantic_10
st_bonaventure,st-bonaventure-bonnies,179,atlantic_10
vcu,vcu-rams,2670,atlantic_10
boston_college,boston-college-eagles,103,acc
clemson,clemson-tigers,228,acc
duke,duke-blue-devils,150,acc
fsu,florida-state-seminoles,52,acc
georgia_tech,georgia-tech-yellow-jackets,59,acc
louisville,louisville-cardinals,97,acc
miami,miami-hurricanes,2390,acc
nc_state,nc-state-wolfpack,152,acc
unc,north-carolina-tar-heels,153,acc
notre_dame,notre-dame-fighting-irish,87,acc
pitt,pittsburgh-panthers,221,acc
syracuse,syracuse-orange,183,acc
uva,virginia-cavaliers,258,acc
virginia_tech,virginia-tech-hokies,259,acc
wake_forest,wake-forest-demon-deacons,154,acc
fgcu,florida-gulf-coast-eagles,526,atlantic_sun
jacksonville,jacksonville-dolphins,294,atlantic_sun
kennesaw_st,kennesaw-state-owls,338,atlantic_sun
lipscomb,lipscomb-bisons,288,atlantic_sun
njit,njit-highlanders,2885,atlantic_sun
north_florida,north-florida-ospreys,2454,atlantic_sun
usc_upstate,south-carolina-upstate-spartans,2908,atlantic_sun
stetson,stetson-hatters,56,atlantic_sun
baylor,baylor-bears,239,big_12
iowa_state,iowa-state-cyclones,66,big_12
kansas,kansas-jayhawks,2305,big_12
kansas_state,kansas-state-wildcats,2306,big_12
oklahoma,oklahoma-sooners,201,big_12
oklahoma_state,oklahoma-state-cowboys,197,big_12
tcu,tcu-horned-frogs,2628,big_12
texas,texas-longhorns,251,big_12
