away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,8108,16540,251,1,0,0.0,0,0.0,76,0,2013-11-09,400498239,0,saturday,2382,0,0,,01:00,73,lhn
1,7193,16540,251,0,0,1.0,0,1.0,84,0,2013-11-13,400502330,0,wednesday,6,0,1,,01:00,77,lhn
2,7348,16540,251,0,0,1.0,0,1.0,72,0,2013-11-16,400498253,0,saturday,2617,0,2,,01:00,62,lhn
1,6943,16540,251,0,0,0.5,1,1.0,89,0,2013-11-19,400503878,0,tuesday,2277,0,3,,01:00,61,lhn
2,7749,16540,251,0,1,0.286,5,0.833,72,0,2013-11-30,400498280,0,saturday,250,0,5,,01:00,69,lhn
4,7431,16540,251,0,1,0.667,2,0.857,70,0,2013-12-03,400498284,0,tuesday,238,0,6,,02:00,64,espn2
7,6092,,218,0,3,0.875,1,0.571,80,0,2013-12-07,400496899,0,saturday,251,0,4,,17:00,81,espnu
3,9534,16540,251,0,1,0.333,6,0.889,85,0,2013-12-15,400498303,0,sunday,326,0,8,,01:00,53,lhn
9,17143,21750,153,0,2,0.9,1,0.778,83,14,2013-12-19,400498312,0,thursday,251,0,7,,00:00,86,espn2
9,15832,16540,251,0,1,0.9,1,0.909,78,5,2013-12-21,400498320,0,saturday,127,0,10,,21:00,92,cbs
5,8199,16540,251,0,2,0.455,6,0.833,66,0,2013-12-30,400498332,0,monday,242,0,10,,19:00,44,lhn
11,10189,16540,251,0,2,0.846,2,0.846,85,0,2014-01-05,400498340,0,sunday,201,0,11,,01:00,88,lhn
11,9068,13611,197,0,2,0.786,3,0.857,87,11,2014-01-09,400498345,0,thursday,251,0,12,,02:00,74,espnu
8,9097,16540,251,0,4,0.533,7,0.733,67,0,2014-01-12,400498350,0,sunday,2641,0,11,,01:00,64,lhn
12,8706,14000,277,0,6,0.75,4,0.625,69,0,2014-01-14,400498351,0,tuesday,251,0,10,,00:00,80,espnu
14,12709,16540,251,0,4,0.875,2,0.765,86,8,2014-01-18,400498359,0,saturday,66,0,13,,21:00,76,espn3
14,8918,16540,251,0,4,0.778,4,0.778,67,22,2014-01-22,400498362,0,wednesday,2306,0,14,,00:00,64,espn2
15,8052,10284,239,0,5,0.789,4,0.722,60,24,2014-01-25,400507020,0,saturday,251,0,13,,18:30,74,espn3
16,16540,16540,251,0,4,0.8,4,0.8,81,6,2014-02-01,400498378,0,saturday,2305,25,16,,21:00,69,espn
17,5233,6800,2628,0,11,0.81,4,0.45,54,15,2014-02-05,400498381,0,wednesday,251,0,9,,01:00,59,espn3
18,12171,12528,2306,0,7,0.818,4,0.682,74,15,2014-02-08,400498383,0,saturday,251,0,15,,18:30,57,espn3
16,10904,16540,251,0,5,0.696,7,0.783,87,19,2014-02-12,400498390,0,wednesday,197,0,18,,00:00,68,espn2
15,14735,16540,251,0,5,0.6,10,0.792,88,19,2014-02-16,400498397,0,sunday,277,0,19,,01:00,71,lhn
20,14384,14356,66,0,5,0.8,5,0.792,85,19,2014-02-19,400498399,0,wednesday,251,17,19,,00:00,76,espn2
20,16300,,2305,0,6,0.769,6,0.769,85,19,2014-02-23,400498406,0,sunday,251,8,20,,00:30,54,espnu
18,12471,16540,251,0,7,0.667,9,0.741,74,24,2014-02-27,400507029,0,thursday,239,0,20,,02:00,69,espnu
21,12976,11562,201,0,8,0.75,7,0.714,77,24,2014-03-01,400498413,0,saturday,251,0,20,,21:00,65,espn3
9,9450,16540,251,0,8,0.321,19,0.724,66,0,2014-03-06,400498421,0,thursday,2628,0,21,,01:00,54,lhn
22,12429,15098,2641,0,17,0.733,8,0.433,59,0,2014-03-08,400498426,0,saturday,251,0,13,,21:00,53,espnn
