away_wins,attendance,capacity,home_id,home_opener,home_losses,away_win_pct,away_losses,home_win_pct,home_score,away_rank,date,game_id,line,day,away_id,home_rank,home_wins,scoring_line,time,away_score,tv_coverage
0,8336,14000,277,1,0,0.0,0,0.0,77,0,2013-11-09,400498240,0,saturday,116,0,0,,01:00,62,root
1,5049,9900,259,0,1,1.0,0,0.0,87,0,2013-11-12,400498243,0,tuesday,277,0,0,,18:00,82,espn
1,6038,14000,277,0,1,0.5,1,0.5,96,0,2013-11-17,400498257,0,sunday,2184,0,1,,21:00,83,root
1,4814,14000,277,0,0,0.333,2,1.0,101,0,2013-11-22,400498265,0,friday,290,0,3,,00:00,68,root
1,5067,14000,277,0,1,0.2,4,0.75,88,0,2013-11-23,400498268,0,saturday,2506,0,3,,18:30,55,root
4,4692,14000,277,0,2,0.8,1,0.714,96,0,2013-12-03,400498286,0,tuesday,2352,0,5,,00:00,47,root
6,7292,15061,142,0,0,0.75,2,1.0,80,0,2013-12-06,400498289,0,friday,277,0,7,,00:00,71,espn2
8,9350,14000,277,0,3,0.889,1,0.667,76,20,2013-12-11,400498297,0,wednesday,2250,0,6,,02:00,80,espn2
9,10019,14000,277,0,4,0.75,3,0.636,70,0,2013-12-22,400498324,0,sunday,2509,0,7,,18:05,73,espnu
8,5038,6800,2628,0,3,0.615,5,0.75,69,0,2014-01-04,400498339,0,saturday,277,0,9,,21:00,74,espn3
9,5005,15098,2641,0,6,0.643,5,0.571,86,0,2014-01-07,400498341,0,tuesday,277,0,8,,00:00,89,espn3
13,12078,14000,277,0,5,0.867,2,0.667,72,11,2014-01-11,400498349,0,saturday,197,0,10,,21:00,73,espn3
12,8706,14000,277,0,6,0.75,4,0.625,69,0,2014-01-14,400498351,0,tuesday,251,0,10,,00:00,80,espnu
10,12528,12528,2306,0,4,0.588,7,0.765,78,0,2014-01-18,400498356,0,saturday,277,0,13,,18:30,56,espn3
10,5031,14000,277,0,8,0.556,8,0.556,87,0,2014-01-23,400498363,0,thursday,2641,0,10,,01:00,81,espn3
11,10011,13611,197,0,3,0.579,8,0.833,81,11,2014-01-25,400498367,0,saturday,277,0,15,,19:00,75,espn2
11,5529,10284,239,0,6,0.55,9,0.684,64,0,2014-01-29,400507021,0,wednesday,277,0,13,,00:00,66,espn2
15,10121,14000,277,0,9,0.714,6,0.571,81,0,2014-02-01,400498375,0,saturday,2306,0,12,,18:30,71,espn3
